image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
sonicdrivein_80,i just can’t believe this is the official # pic of our new menu.,3,1,0.95661527,0.43915775,0.2142857142857142,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6809354424476624,1
sonicdrivein_2052,a guy who thought he was going to get a job with an ice cream shop and then decided that's when i got this.,0,1,0.9492294,0.43915775,0.0,0.0,0.0,0.0,0.5964164137840271,1
sonicdrivein_780,"when your boss tells you to make a burger and then says, i don't know what it is.",1,1,0.9525509,0.43915775,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8465597629547119,1
sonicdrivein_877,"in the car wash, we have 30 minutes to clean out all of our beer cans.",0,1,0.97528505,0.43915775,0.0,0.0,0.0,0.0,0.3528814017772674,0
sonicdrivein_1729,"it’ s like, “ we need to get this out of here.",1,1,0.820253,0.43915775,0.0393638793950845,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308,0.6703376770019531,1
sonicdrivein_486,i bought this for my sister in law who is 30 years old and can t stop thinking about her.,2,1,0.9323611,0.43915775,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4288287758827209,0
sonicdrivein_1635,when you order a @ chadribon ice cream and get an extra scoop.,3,1,0.8441234,0.43915775,0.0057494863356075,0.0020762033989693,5.54364708958886e-310,5.54364708958886e-310,0.0414023026823997,0
sonicdrivein_594,i'm not going to tell you what i’ m thinking about this.,1,1,0.9759232,0.43915775,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6115039587020874,1
sonicdrivein_135,you’ re not here to eat any more ice cream.,1,1,0.9773602,0.43915775,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6523824334144592,1
sonicdrivein_1849,im the most crazy person on this planet.,1,1,0.93322515,0.43915775,0.0405815584197937,7.223757182189463e-309,7.223757182189463e-309,7.223757182189463e-309,0.6176064014434814,1
sonicdrivein_1459,"and then, and 't the most expensive pizza in town.",1,1,0.1672023,0.43915775,0.0548811636094026,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308,0.2527665793895721,0
sonicdrivein_316,the car i’ m going to drive in is called “ tonics# one” but we all know that it doesn’ t exist.,1,1,0.9618395,0.43915775,0.0454545454545454,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2599438428878784,0
sonicdrivein_2181,"when we were at the party, i was so excited to see all of you but when it came time for my mom she just said.",1,1,0.5167528,0.43915775,0.0384615384615384,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1885958462953567,0
sonicdrivein_1755,the strawberry watermelon ice cream is the best of this summer.,1,1,0.9717442,0.43915775,0.0305373619308329,7.474267431407837e-309,7.474267431407837e-309,7.474267431407837e-309,0.6315164566040039,1
sonicdrivein_1765,a 30-second video of a dog doing this is the perfect way to get your mind off work.,2,1,0.9500079,0.43915775,0.0889708225463119,1.7816998627591863e-308,1.7816998627591863e-308,1.7816998627591863e-308,0.2110528498888015,0
sonicdrivein_1138,my mom says she's not hungry.,0,1,0.9760966,0.43915775,0.0,0.0,0.0,0.0,0.5117043256759644,1
sonicdrivein_842,"i'm not going to make you a sandwich, but i’ m gonna get the best one in your house.",5,1,0.96686447,0.43915775,0.2496656526359045,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308,0.3366116285324096,0
sonicdrivein_204,but this is what we get for the price of a burger# u2019; like.,1,1,0.73578227,0.43915775,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2297199517488479,0
sonicdrivein_478,"when i was 13 and my first date, we were at a restaurant that smelled like french fries.",1,1,0.9786081,0.43915775,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2374833673238754,0
sonicdrivein_1197,"you can get a big, delicious taco at the end of your shift.",1,1,0.98382217,0.43915775,0.0565493446608988,1.6357440907688813e-308,1.6357440907688813e-308,1.6357440907688813e-308,0.1838147789239883,0
sonicdrivein_1566,the app that tells you what u’ re going to eat next and when it says “ no more ice cream” is the worst.,3,1,0.72677124,0.43915775,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3300409018993377,0
sonicdrivein_532,"i've been trying to find a dog that would eat my leftovers for weeks, and i just can’ t believe it.",3,1,0.9741047,0.43915775,0.1238396999643116,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308,0.1620265245437622,0
sonicdrivein_614,this is the first time i’ ve seen this in 20 years.,3,1,0.96774375,0.43915775,0.141080287481769,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.776823103427887,1
sonicdrivein_926,it's not like we have a plan.,1,1,0.97553253,0.43915775,0.0606246922395642,9.44260925176118e-309,9.44260925176118e-309,9.44260925176118e-309,0.2605020403861999,0
sonicdrivein_344,"i love you, because it makes me feel so much better.",1,1,0.97029805,0.43915775,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.901701271533966,1
sonicdrivein_339,"this is the moment we finally get to use our new, and i was so excited.",5,1,0.89784,0.43915775,0.1780571327284134,1.267808868335202e-308,1.267808868335202e-308,1.267808868335202e-308,0.657766580581665,1
sonicdrivein_2095,i'm not gonna do it.,0,1,0.97327834,0.43915775,0.0,0.0,0.0,0.0,0.8351479172706604,1
sonicdrivein_1084,we’ re not done! we are about to sonic the jimmy.,2,1,0.81459516,0.43915775,0.1263898051634325,1.54674658298039e-308,1.54674658298039e-308,1.54674658298039e-308,0.0604256652295589,0
sonicdrivein_1854,this is what it looks like when ur gonna get your.,0,1,0.5410112,0.43915775,0.0,0.0,0.0,0.0,0.8243392109870911,1
sonicdrivein_789,"a 30-year old man who works at the food court, a 25 year woman and their dog are in an uproar.",0,1,0.924798,0.43915775,0.0,0.0,0.0,0.0,0.1028476506471633,0
sonicdrivein_89,it’ s # doggertuesday so we hope you can have a good one.,0,1,0.876108,0.43915775,0.0,0.0,0.0,0.0,0.6067027449607849,1
sonicdrivein_2189,"a new wave of smartphones, and we have to make sure they can keep up with the latest trends.",2,1,0.96098465,0.43915775,0.1052631578947368,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2973194420337677,0
sonicdrivein_69,"dude, you know what i do? we’ re going to be selling these shoes.",0,1,0.9768212,0.43915775,0.0,0.0,0.0,0.0,0.4235303401947021,0
sonicdrivein_470,"do you want to try a new flavor? we’ ll give it the, and then i will be here for them.",0,1,0.7491899,0.43915775,0.0,0.0,0.0,0.0,0.0435417033731937,0
sonicdrivein_2185,"the first time i tried this, it was just a little something.",2,1,0.93232065,0.43915775,0.0787277587901691,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308,0.8223747611045837,1
sonicdrivein_1737,"i'm not sure if this is the best thing to do with a whale, but i think it’ s about time we start calling our own.",3,1,0.96662915,0.43915775,0.1153846153846154,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2525228857994079,0
sonicdrivein_2078,"the first thing i did was to take a picture of my food and drink, but it is going out on the 20th.",4,1,0.7407513,0.43915775,0.1304347826086956,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6232175230979919,1
sonicdrivein_311,"it's not about the date, it is all of us.",2,1,0.9182223,0.43915775,0.1637461506155964,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308,0.5267407298088074,1
sonicdrivein_952,the only way to make it is by changing the.,2,1,0.8959157,0.43915775,0.0049447052940678,5.50116724392644e-310,5.50116724392644e-310,5.50116724392644e-310,0.4638271927833557,0
sonicdrivein_1254,"the first person to sign up for the course is my friend, and i'm going t be in it too.",3,1,0.95438904,0.43915775,0.15,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1575746089220047,0
sonicdrivein_1623,"so i'm gonna try and make a dinner for my mom on sunday, but the only thing that looks good is an taco bell margarita.",3,1,0.97396684,0.43915775,0.12,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1268792599439621,0
sonicdrivein_1471,when you ask your dog to be a human and they say no.,2,1,0.91452163,0.43915775,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.5977769494056702,1
sonicdrivein_196,it’ s not a surprise that we're going to get into this.,0,1,0.97912186,0.43915775,0.0,0.0,0.0,0.0,0.9821074604988098,1
sonicdrivein_1102,"the guy who's got a ton of ice in his mouth, and the car is on fire.",6,1,0.9638997,0.43915775,0.1539951369749991,1.1650118823090733e-308,1.1650118823090733e-308,1.1650118823090733e-308,0.7408351302146912,1
sonicdrivein_414,"when you see the smoke coming out of his mouth, just know that it’ s not a ghost.",4,1,0.9716546,0.43915775,0.2222222222222222,0.1176470588235294,2.2250738585072617e-308,2.2250738585072617e-308,0.8622709512710571,1
sonicdrivein_556,"it's not like you can just buy a unit and it will come with the warranty, but we do n’t know if that is possible.",1,1,0.8717858,0.43915775,0.04,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1170976385474205,0
sonicdrivein_1221,i'm gonna ask you to go home.,1,1,0.9781512,0.43915775,0.000130268852222,2.0290047235994e-311,2.0290047235994e-311,2.0290047235994e-311,0.3255970478057861,0
sonicdrivein_1778,"it’ s a new year, so let's celebrate by drinking water.",1,1,0.97852135,0.43915775,0.0278836870524142,6.824758945303683e-309,6.824758945303683e-309,6.824758945303683e-309,0.1405725479125976,0
sonicdrivein_1367,"it's not a trick, it’ s just what i need to do.",2,1,0.97217023,0.43915775,0.1010884432854389,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.6572020053863525,1
sonicdrivein_743,"it’ s 10:35 am and i was trying to get some sleep, but the entire town is abuzz with a mumps outbreak.",4,1,0.97159684,0.43915775,0.0668871711220804,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.5011546015739441,1
sonicdrivein_543,"it’ s my first drive-in, but i'm so hungry that we just had to stop at a fast food restaurant.",0,1,0.9717068,0.43915775,0.0,0.0,0.0,0.0,0.5120438933372498,1
sonicdrivein_1996,"in the first episode of your show, you’ ll be making a ton more fun with kids.",3,1,0.970198,0.43915775,0.1764705882352941,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3345702588558197,0
sonicdrivein_491,fucked like a boomerang.,0,1,0.948761,0.43915775,0.0,0.0,0.0,0.0,0.6502584218978882,1
sonicdrivein_655,a christmas present that's worth more than a dozen lattes.,2,1,0.96559495,0.43915775,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9196779727935792,1
sonicdrivein_791,"it’ s a, it was so close! 🎉🎈🍰 🍀 🥤🥦🥧🌱 🌲 💕🔥.",0,1,0.77945,0.43915775,0.0,0.0,0.0,0.0,0.0547364503145217,0
sonicdrivein_1666,"we're going to have a bunch of things, so we’ re gonna need this.",0,1,0.9620335,0.43915775,0.0,0.0,0.0,0.0,0.5211972594261169,1
