image_id,caption,fluency,diversity
imgflip_912,satan; god; the one who asked,0.8065612,0.53342414
imgflip_161,"math was invented in the 6th century bc
people in 5th century bc",0.4158317,0.53342414
imgflip_460,"i went on a flight yesterday; how was it? i mean, it had its ups and downs",0.9809006,0.53342414
imgflip_827,"ya know,  my mother never loved me",0.95070446,0.53342414
imgflip_357,when u reliese ure homie; stole all the milk,0.6902704,0.53342414
imgflip_659,when you keep getting the same ad every ten seconds:,0.80859846,0.53342414
imgflip_788,what bad crime did you do? i stole the unique mcdonald’s good ice cream machine,0.9424018,0.53342414
imgflip_776,when you see fat girls in leggings,0.95703775,0.53342414
imgflip_221,movies without love; my life?,0.61934406,0.53342414
imgflip_573,novichok asked me for a dihaloformaldoxime group; he has a lot of nerve!,0.8996475,0.53342414
imgflip_740,me: *accidentally curses*; my mom: where did you learn that language young man? books; movies; other people; family; news; you and dad,0.3716829,0.53342414
imgflip_1313,watching tv alone and an amber alert comeson,0.35426643,0.53342414
imgflip_362,1 billion people have been rickrolled; some just get different links,0.9395191,0.53342414
imgflip_1009,i don't always catch mice and eat them... but when i do i save the head and feets just for you,0.86326814,0.53342414
imgflip_523,when a youtuber is just pointlessly rambling and they will not shut up for 10 - 20 minutes,0.83593243,0.53342414
imgflip_771,"my mom and dad fighting; me, whos flooded the bathroom",0.14884077,0.53342414
imgflip_714,you get a new student in class; you befriend him; the starts sniffing sugar with his nose; he becomes your best friend; he likes sugar as much as you,0.9566781,0.53342414
imgflip_1031,"me:makes gun shape with fingers
my teacher:; wouldnt that make you; a terrorist",0.3529374,0.53342414
imgflip_353,"people playing games normally; &quot;hey it's josh, welcome back to let's game it out&quot;",0.63863707,0.53342414
imgflip_198,its your birthday; you have a card; its from grandma; money falls out,0.7837984,0.53342414
imgflip_229,parenting be like; don't play games; their parents; the kids; go to school,0.20432642,0.53342414
imgflip_1781,"so paul mccartney and i had just finished writing &quot;let it be&quot; and i said &quot;paul, i've got the feeling this one could be a hit&quot;",0.82669294,0.53342414
imgflip_602,people who bought imgflip pro,0.5923225,0.53342414
imgflip_275,"lives that mattered; black ones; this isn't a question! jesus; oh, so now i look racist. great",0.88123786,0.53342414
imgflip_864,spongebob squarepants! who lives in a pineapple under the sea?,0.9637759,0.53342414
imgflip_1026,my sisters who bully me for liking fnaf,0.49698243,0.53342414
imgflip_624,how can you like; pineapples on pizza?,0.29121116,0.53342414
imgflip_426,for schools to stop trying to punish the victims of bullying; red,0.94998664,0.53342414
imgflip_1309,karens: vaccines track you!! their phones be like:,0.053738475,0.53342414
imgflip_544,mosquito buzzing,0.8780595,0.53342414
imgflip_270,"when your little brother knows the meaning of number ""69""",0.9126222,0.53342414
imgflip_1133,you mean that alligator thing!? ahh did you see that lizard!? dude im going to abandon my dog for that; why? you should kill it,0.7708472,0.53342414
imgflip_807,"everyone is doing their presentations in class, but even though i didn't finish mine, the teacher forgot to call on me. random student: &quot;wai",0.827614,0.53342414
imgflip_824,"image tagged in confused screaming,disney,you had one job",0.2005848,0.53342414
imgflip_872,most of imgflip when you have any other icon; most of imgflip when you have a white binary icon; most of imgflip when you have a yellow or orange binary icon; most of imgflip when you have a blue binary icon or star icon,0.70141625,0.53342414
imgflip_1294,someone surviving electrical be like:,0.049472854,0.53342414
imgflip_482,whats my name??... ...jscott71!!.... what did i hopefully just do??? .....your 50th submission!!... now how many of you will care???..... ..,0.82256556,0.53342414
imgflip_920,me who somehow convince my teacher to use imgflip as homework,0.48295805,0.53342414
imgflip_650,music youtubers who put a download link in their video description,0.82800776,0.53342414
imgflip_712,"when my little brother asks me 
if what he made with legos is cool",0.9770537,0.53342414
imgflip_829,"i wish to understand how horton can hear the voices of miniature people, that literally no one could see or hear, but can't hear gertrude until the second act. no, but really, i am so confusion
\",0.68750966,0.53342414
imgflip_379,the daily bugle:; spider man: exists,0.77603066,0.53342414
imgflip_637,how to uninstall duolingo; duolingo,0.8275762,0.53342414
imgflip_402,that moment when you finish your test an you know you have already failed,0.77795625,0.53342414
imgflip_390,books with detail; books without detail,0.8040937,0.53342414
imgflip_531,hugs actually lower blood pressure and stress and keep heart disease away by 20% so they save lives,0.7902537,0.53342414
imgflip_722,"2020 was a leap year, but we are all so distracted and depressed from covid none of us realized it",0.7737161,0.53342414
imgflip_690,ender dragon: peacefully flying around; me and the boys:,0.5526061,0.53342414
imgflip_1006,these guys,0.9197067,0.53342414
imgflip_224,yeah i dont buy furry heads for robuxs; how could you tell,0.62981737,0.53342414
imgflip_356,my friend: picks at a scab because he doesn’t want it; the usefulness of scabs for the immune system:,0.92017764,0.53342414
imgflip_615,money changes everything,0.9547466,0.53342414
imgflip_591,you are dead; you're alive'nt; your free trial of existence has expired,0.6267815,0.53342414
imgflip_748,at 5000/1 how did leicester win? i mean honestly,0.8474086,0.53342414
imgflip_541,trying to think of; an original idea,0.68217903,0.53342414
imgflip_1388,danger,0.82983255,0.53342414
