image_id,caption,fluency,diversity
imgflip_402,if you  want your wife to pay attention to every word you say; try talking in your sleep,0.9815788,0.5390665
imgflip_829,i wish trees scream when we get their fruits,0.93010205,0.5390665
imgflip_722,if you found a big injector in a mid of a mountain you should; start running,0.7286811,0.5390665
imgflip_659,when you have to figure out how you are going to give gifts to millions of people in the world in one night:,0.9647522,0.5390665
imgflip_714,you meet a cute girl; she loves you and you go out with her; turns out her parents are demons and they want you dead; turns out her parents are demons and they want you dead; there's a headcanon that bf is an angel and even one of the creators of fnf made a gif where he goes super saiyan,0.31009245,0.5390665
imgflip_390,the mcu; the mcu if the bomb killed tony stark,0.9067139,0.5390665
imgflip_740,star vs. the forces of evil has no memes,0.6823843,0.5390665
imgflip_624,this chicken is so cold; it's jogging to get warm,0.8663415,0.5390665
imgflip_544,n/d; volume 1 at 3am,0.7124648,0.5390665
imgflip_1309,me when i tell first graders that santa isn’t real,0.9030618,0.5390665
imgflip_221,self portrait; self potato,0.8867499,0.5390665
imgflip_426,couple million dollars; rainbow,0.42830896,0.5390665
imgflip_864,21; 10+9=,0.8234252,0.5390665
imgflip_690,"me: ""my name is just two letters. literally nobody could mispronounce it!""; substitute teachers:",0.83318335,0.5390665
imgflip_379,apples: *exist*; doctors:,0.73194855,0.5390665
imgflip_531,this meme shouldn’t be here,0.9403298,0.5390665
imgflip_712,the greek gods: having a good time at the wedding of peleus and thetis; eris:; war; place's; start,0.54250395,0.5390665
imgflip_356,"brother walks in while sister puts on makeup

brother; awww sis you don't have to put on makeup

sis;awww bro your so sweet

brother; you need plastic surgery",0.31160107,0.5390665
imgflip_807,when you finish your meal... when you see the bill,0.957187,0.5390665
imgflip_776,when your crush ask you if you like her and you say no cause you dont know if she will like you back or not,0.81812453,0.5390665
imgflip_573,"do you ""potassium nitrogen oxygen tungsten"" what i mean? if ""yes"", like my meme!",0.07178055,0.5390665
imgflip_229,math teacher's immune system; omicron or any other desease,0.34627402,0.5390665
imgflip_353,kong will win; godzilla  will win; it will be a tie,0.9753507,0.5390665
imgflip_591,red sus; red is really suspicious guys; after concluding all my information and analyzing it all i have deemed red as the most of my suspicions,0.07227033,0.5390665
imgflip_1294,when you put food in the microwave but one minute is to hot so you put it in for 60 seconds,0.092277914,0.5390665
imgflip_650,people who upvote memes even if they don't like them just to cheer the person up,0.8685222,0.5390665
imgflip_1781,"there i was on the bow of the titanic with leonardo, pretending we were flying as we held each other. then i noticed that there was an iceberg coming awfully close to the ship.",0.97670245,0.5390665
imgflip_362,she didn't leave you on read; you left her speechless,0.33860347,0.5390665
imgflip_771,people who use emoticons; people who use emojis; nerds who just type:,0.88556737,0.5390665
imgflip_270,im not fat; i just have a good owner,0.8046106,0.5390665
imgflip_602,black pimples?,0.8473767,0.5390665
imgflip_637,the lion guard; us-president-joe-biden,0.7052763,0.5390665
imgflip_1006,1 hour = 10 minutes; speed of time when i play games,0.6818156,0.5390665
imgflip_748,is it really that hard to get your meme to the front page? seriously?,0.9744461,0.5390665
imgflip_1026,me?,0.66950196,0.5390665
imgflip_920,me in kindergarten when i get 1+1 correct,0.71928865,0.5390665
imgflip_824,me and the boys after watching the scariest horror movie and then it says: based on true story,0.32842663,0.5390665
imgflip_541,when you watch tiktok videos of people playing &quot;what do you meme?&quot;; and notice that they play it different from how you've played it,0.5450667,0.5390665
imgflip_1133,*pushes*; ur not my bestie anymore! ur funny lol; *punches*,0.65593445,0.5390665
imgflip_523,"a car horn playing ""la cucaracha""? what year is it?",0.93664557,0.5390665
imgflip_788,what are you in for; i like fortnite,0.70670724,0.5390665
imgflip_357,you were supposed to destroy the institute; not join them,0.9719948,0.5390665
imgflip_482,we're all in this together! no we're not why? it's the hunger games oh attack!!!!!,0.34340176,0.5390665
imgflip_615,never gonna give you up,0.9320467,0.5390665
imgflip_1388,bernie,0.70114523,0.5390665
imgflip_827,just place the picnic basket here,0.96072567,0.5390665
imgflip_460,life is full of ups and downs. but do you know what did my life say to me? never gonna give you ups; no. what did it say?,0.9336119,0.5390665
imgflip_1009,i'm part of a mass media so i am like; a big deal around here,0.51782787,0.5390665
imgflip_912,google page two; google page one; bing page two,0.78955173,0.5390665
imgflip_1313,joe biden,0.9101558,0.5390665
imgflip_161,me at 3 am calculating how much sleep ill get:,0.23316738,0.5390665
imgflip_198,you call tha boiss; one of them told to come for a gaming sleepover; everybody agrees; theres choccy milk at his home,0.29156607,0.5390665
imgflip_224,ask me a question; and i'll answer with another question,0.95452565,0.5390665
imgflip_872,you get out of school; it's friday; you have no homework; there are still some corndogs left,0.9749005,0.5390665
imgflip_1031,*goes to youtube video*; youtube: wouldn't that make you; want youtube premium?,0.47678858,0.5390665
imgflip_275,which one of these countries was bombed by usa; iraq; iran; yemen; japan,0.8106435,0.5390665
