image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
mcdonalds_switzerland_118,"when you think of big mac, you think of hamburgers.",0,1,0.97161263,0.50660574,0.0,0.0,0.0,0.0,-9.228557,0.8794305324554443,1
mcdonalds_switzerland_409,"i may not have a loyalty code, but i am happy to show you my loyalty points by using the menu in the app.",5,1,0.97695315,0.50660574,0.1666666666666666,0.0434782608695652,2.225073858507262e-308,2.225073858507262e-308,-8.837454,0.1219168379902839,0
mcdonalds_switzerland_598,"let it be real, we 've got something for everyone.",1,1,0.91683376,0.50660574,0.0223130160148429,4.9648108639081e-309,4.9648108639081e-309,4.9648108639081e-309,-9.180471,0.4597541391849518,0
mcdonalds_switzerland_2000,the 'm 's have been collecting information for years and they 're not exactly thrilled about it.,0,1,0.96285397,0.50660574,0.0,0.0,0.0,0.0,-8.24387,0.9562621712684632,1
mcdonalds_switzerland_478,which one is your favorite? 🤤🍔 ✨ will you be able to find it? 🤤🍔 thanks to@ karen_mccafé and her team at the mcdonald’ s on 09.,3,1,0.8540612,0.50660574,0.111111111111111,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-8.747081,0.0131167080253362,0
mcdonalds_switzerland_642,"i 'm sure you 're already familiar with the crisp, crisp bacon.",1,1,0.97358185,0.50660574,0.0766703678857769,2.0471667756573244e-308,2.0471667756573244e-308,2.0471667756573244e-308,-9.059553,0.7960078716278076,1
mcdonalds_switzerland_234,"a big chicken mcnuggets® is trendy, but not always so trendy.",2,1,0.9208443,0.50660574,0.1818181818181818,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-0.2588699,0.1556246429681778,0
mcdonalds_switzerland_181,me and my friends are always hungry for a snack.,0,1,0.9749553,0.50660574,0.0,0.0,0.0,0.0,-9.96695,0.3092859983444214,0
mcdonalds_switzerland_616,the bell rings and the evening is over.,1,1,0.9738116,0.50660574,0.0316049494755933,5.625867750206837e-309,5.625867750206837e-309,5.625867750206837e-309,-9.22523,0.1664923131465912,0
mcdonalds_switzerland_19,the big bang menu of the big bang restaurants of the heart of the switzerland.,0,1,0.8088689,0.50660574,0.0,0.0,0.0,0.0,-8.425251,0.5089582204818726,0
