train_G,train_D,test_G,test_D,save
2.57240234375,1.8314208984375,1.718671875,1.777578125,V
1.5726123046875,1.7757470703125,1.476083984375,1.77564453125,V
1.4247216796875,1.774580078125,1.39033203125,1.77431640625,V
1.37385498046875,1.7739501953125,1.380625,1.77525390625,V
1.3591650390625,1.774189453125,1.371875,1.77466796875,V
1.34171630859375,1.7749365234375,1.335390625,1.7729296875,V
1.3266650390625,1.775009765625,1.329384765625,1.7749609375,V
1.311982421875,1.7744677734375,1.32513671875,1.77521484375,V
1.307412109375,1.7746875,1.314072265625,1.7773046875,V
1.300009765625,1.7740283203125,1.322666015625,1.77416015625,V
1.301806640625,1.7734033203125,1.303623046875,1.772421875,V
1.29197265625,1.7736328125,1.28859375,1.773046875,V
1.288857421875,1.7738037109375,1.28611328125,1.7737890625,V
1.294580078125,1.7745068359375,1.29296875,1.77310546875, 
1.29683349609375,1.773125,1.297548828125,1.77341796875, 
1.2912158203125,1.7738623046875,1.28654296875,1.775625, 
1.28630859375,1.7745751953125,1.309765625,1.77376953125, 
1.28614501953125,1.774677734375,1.297177734375,1.77365234375, 
1.28685791015625,1.7737060546875,1.281708984375,1.77328125,V
1.27797119140625,1.7741845703125,1.288681640625,1.77357421875, 
1.279072265625,1.774306640625,1.288349609375,1.77361328125, 
