,image_id,caption,fluency,diversity
35,sonicdrivein_2076,congratulations to the sonic limeades for learning classrooms who were funded over the weekend! didn’t see your project,0.8261202,0.6204147
74,sonicdrivein_1199,there’s only one thing running through my mind. 🏃🥤🏃,0.9506423,0.6204147
97,sonicdrivein_1022,when someone’s getting you sonic and you want to make sure they get your order right.,0.8925847,0.6204147
128,sonicdrivein_945,🏃🏃 beat the lunch rush go go go!,0.83760273,0.6204147
129,sonicdrivein_1376,"you say “potato,” i say “picasso.” show us your tot art! 🎨",0.61985016,0.6204147
154,sonicdrivein_1459,sonic summertime dreaming. 💭are you ready for some summer sun at the drive-in? ☀️ 📸: @xoaleeeee,0.80652016,0.6204147
167,sonicdrivein_1616,ice cream is always the perfect accessory 🍦,0.97284985,0.6204147
178,sonicdrivein_98,m&m blast on canvas by sonic (e. 1953),0.82646734,0.6204147
192,sonicdrivein_2052,"eat your heart out, candy board games. ",0.46238413,0.6204147
238,sonicdrivein_2100,"who wants celebrate tax filing <or, drown tax sorrow> in sonic drinks or slushes? <raises hand> 1/2-price all day today!",0.259513,0.6204147
251,sonicdrivein_2185,"this little bit was so excited to meet mr. coney at sonic summer movie night at okc's myriad gardens. tonight, ""the",0.49138534,0.6204147
309,sonicdrivein_1358,"seasons may change, but tots are forever. happy fall! 🍂#totumn",0.79775214,0.6204147
320,sonicdrivein_1788,"come by for happy hour. @hoflaherty’s crew knows, you gotta snag ‘em all.tag #thisishowisonic and you could be featured.",0.37456483,0.6204147
334,sonicdrivein_780,eating a corn dog in outer space? 👀,0.9261232,0.6204147
336,sonicdrivein_78,the fourth is strong with this one 😮‍💨,0.35629883,0.6204147
339,sonicdrivein_566,i’ve had some time on my hands 😂,0.93245804,0.6204147
348,sonicdrivein_497,one tot doesn’t make me a bad mom.,0.9067887,0.6204147
376,sonicdrivein_690,don't keep mom from her emotional support ice.,0.5808597,0.6204147
389,sonicdrivein_655,"win or lose, you can always use a post-game slush🥤⚾️",0.88329726,0.6204147
400,sonicdrivein_414,when you first move out of your parents’ house:,0.87979394,0.6204147
409,sonicdrivein_163,sorry 4 the vegetables i bought rip :(,0.37523636,0.6204147
414,sonicdrivein_809,all-star menu items. which items would be in your card collection?,0.9424051,0.6204147
459,sonicdrivein_789,our mozz stick lovers: we see you. 👀❤️ #nationalcheeseloversday,0.8008718,0.6204147
483,sonicdrivein_1897,"for flavor as 🔥 as your winning streak, pop sonic’s sriracha seasoned jumbo popcorn chicken.",0.28136203,0.6204147
493,sonicdrivein_1572,"strike a pose! sonic cups in hand, of course.",0.6842224,0.6204147
515,sonicdrivein_1927,"tis’ the season to bask in the glory of 50¢ corn dogs. get to sonic & pick up as many as you can carry, today only.",0.72813505,0.6204147
536,sonicdrivein_290,reminder to check in on your group chats today,0.9089121,0.6204147
537,sonicdrivein_486,i love the taste of hypocrisy in the morning.,0.98047274,0.6204147
541,sonicdrivein_1809,kick off summer break with a 50¢ corn dog in hand. 🙏 tag your after school crew and swing by sonic tomorrow for national end of school day.#sonic #corndog #😎 tax not included. add-ons cost extra. cannot be combined with other offers. offer valid 05/24/16 at participating sonic drive-ins while supplies last.,0.4947705,0.6204147
551,sonicdrivein_1675,"not all heroes wear capes. some are dressed in chili and cheese...with a sidekick of tots. at $3.99, you can count on",0.80908114,0.6204147
561,sonicdrivein_1175,"introducing the glizzy gladiator & the cheeseburger challenger! ⚔️ in the culinary combat between hot dog and cheeseburger, who do you root for? 🛡️",0.8904464,0.6204147
567,sonicdrivein_1220,tots off to you 2020 seniors! congrats on 4 years of hard work and a lifetime of memories! 🎉🎉,0.44180828,0.6204147
587,sonicdrivein_496,how would you define it? #mmmsonic,0.8388971,0.6204147
607,sonicdrivein_742,just starting our weekend off with a slush. 🤩,0.91710246,0.6204147
623,sonicdrivein_1755,how many corn dogs you’ll have is still a toss-up. drop by sonic on august 31st and enjoy 50¢ corn dogs all day. ,0.95130557,0.6204147
