,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
35,sonicdrivein_2076,"i 'm not afraid to admit it, but i 'm not afraid to admit it.",2,1,0.9730207,0.49584767,0.0545820502051987,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308
74,sonicdrivein_1199,slush# festivalbowl# festivalbowl# festivalbowl# slush# festivalbowl# festivalbowl# slush# festivalbowl# festivalbowl# slush# festivalbowl# festivalbowl# slush# festivalbowl# slush# festivalbowl# slush# festivalbowl# slush# festivalbowl# slush# festival,0,1,0.90898764,0.49584767,0.0,0.0,0.0,0.0
97,sonicdrivein_1022,one of the few things that can be accomplished with just one cup of ice’ s goodness 💅🏼‍♀️💅🏼‍♀️💅🏼‍♀️💅🏼‍♀️💅�,0,1,0.8853273,0.49584767,0.0,0.0,0.0,0.0
128,sonicdrivein_945,i 'm not afraid to admit it to myself but i feel like i 'm just being honest ...# nationalbreakfast# nationalbreakfast# nationalhumor# nationalcomplimentday# nationalcomplimentday '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.88297343,0.49584767,0.0,0.0,0.0,0.0
129,sonicdrivein_1376,question: if the trick or treat isn’ t the only thing that’ s going to be available for purchase ... then i don’ t know what it’ s going to be.,1,1,0.9701427,0.49584767,0.032258064516129,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
154,sonicdrivein_1459,not sure who’ s more excited for sonic drive-ins.,2,1,0.94438845,0.49584767,0.1020946275635392,1.022256390985498e-308,1.022256390985498e-308,1.022256390985498e-308
167,sonicdrivein_1616,guess we’ ve got a lot of sonic drinks floating around 👀# rockandrolllife# sonicdrinkremix ''# rockandrolllife# newyearsofritussonic ''# newyearsofritussonic ''# newyearsofritussonic ''# newyearsofrituss,0,1,0.77816993,0.49584767,0.0,0.0,0.0,0.0
178,sonicdrivein_98,this one’ s for you.# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.7212847,0.49584767,0.0,0.0,0.0,0.0
192,sonicdrivein_2052,"alright, we 're taking a look at some of the cooler tastebuds we 've been doing since the beginning of this year.",0,1,0.9747274,0.49584767,0.0,0.0,0.0,0.0
238,sonicdrivein_2100,"they’ re coming to get you 😏🥤 watch the latest episode of momfessionals with@ annalee15 now on youtube where@ annalee15 interviews her mom, momfessionals.",0,1,0.8832383,0.49584767,0.0,0.0,0.0,0.0
251,sonicdrivein_2185,"no, no, no, no, no, no, none, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0,1,0.8648663,0.49584767,0.0,0.0,0.0,0.0
309,sonicdrivein_1358,wrapped with goodness inside and out 💅🏼‍♀️💅🏼‍♀️💅🏼‍♀️💅🏼‍♀️💅🏼‍♀️💅�,0,1,0.8334368,0.49584767,0.0,0.0,0.0,0.0
320,sonicdrivein_1788,thank you@ annalee15 and all our fans.,1,1,0.8118595,0.49584767,0.0257274731639931,4.00718695878539e-309,4.00718695878539e-309,4.00718695878539e-309
334,sonicdrivein_780,don’ t forget to share this with all your friends ... we’ ve got a guilt-free bite dropping soon that you won’ t want to miss?# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal '' '' '' '' '' '',1,1,0.768367,0.49584767,0.027027027027027,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
336,sonicdrivein_78,"drinks are soft, they 're hot, they 're hot, they 're hot, they 're hot, they 're cold, they 're cold, they 're cold, they 're cold, they 're cold, they 're cold, they 're cold, they 're cold, they '",0,1,0.8576358,0.49584767,0.0,0.0,0.0,0.0
339,sonicdrivein_566,i 'm not afraid to admit it to myself but i’ m willing to admit it to myself 😎# sonicdebate# sonicdebate# nationaldebate '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.83435744,0.49584767,0.0,0.0,0.0,0.0
348,sonicdrivein_497,not me telling my friends that i only drink red bull slush# drinkredbull# somethingscookin# march5 📷:@ tahrithebengal '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',1,1,0.67619514,0.49584767,0.0217391304347826,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
376,sonicdrivein_690,i got my roommate to drive me to the drive-in so i could eat my food 😅# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamiliesideas# march5 📷:@ thewilliamsfamiliesideas# getawaywith,0,1,0.8252693,0.49584767,0.0,0.0,0.0,0.0
389,sonicdrivein_655,"don’ t worry, we won’ t have to wait for you 😏🥤 watch the full episode of momfessionals with@ annalee15 now on youtube </s># momfessionals# bts# bloopers ''# bts# bloopers ''# bloopers",1,1,0.84205085,0.49584767,0.03125,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
400,sonicdrivein_414,the trick or treat you’ re searching for is a treat 💅🏼# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal # march5 📷:@ franckleflambert# march5 📷:,0,1,0.83137256,0.49584767,0.0,0.0,0.0,0.0
409,sonicdrivein_163,not sure who’ s more excited for the drive-in.,1,1,0.95480347,0.49584767,0.111111111111111,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
414,sonicdrivein_809,let 's see if we can get this to work.,0,1,0.9631273,0.49584767,0.0,0.0,0.0,0.0
459,sonicdrivein_789,pickle fries are available for purchase on sonicswagshop.,0,1,0.9747627,0.49584767,0.0,0.0,0.0,0.0
483,sonicdrivein_1897,a must-have snack for anyone craving a bite of mozz sticks 😏# mozz sticks 😏# mozz sticks ''# mozz sticks ''# mozz sticks ''# mozz sticks ''# mozz sticks ''# mozz sticks ''# mozz sticks ''# mozz sticks ''# mozz sticks '',1,1,0.91624993,0.49584767,0.0238095238095238,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
493,sonicdrivein_1572,guess i’ ll stay out of the office a lot longer 🤩# officelife# officelife# officelife# officelife# getawaywithit# somethingscookin# march5 📷:@ officelife# getawaywithit# somethingscookin# march5 📷,2,1,0.8446687,0.49584767,0.0799999999999999,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
515,sonicdrivein_1927,"new year, new york.",0,1,0.6573242,0.49584767,0.0,0.0,0.0,0.0
536,sonicdrivein_290,redecorating ✨reveal✨ part 2 featuring the fantasy worlds of your food cravings.,1,1,0.70814705,0.49584767,0.0833333333333333,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
537,sonicdrivein_486,"idk about you, but i’ ll tell you this’ s what happens when you don’ t wear your wrong clothes? 🤔# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamiliesideas# march5 📷:@",0,1,0.6797167,0.49584767,0.0,0.0,0.0,0.0
541,sonicdrivein_1809,"no matter which path we take, we always end up with the same result.",2,1,0.9722649,0.49584767,0.009464608450323,1.47416169906746e-309,1.47416169906746e-309,1.47416169906746e-309
551,sonicdrivein_1675,"we have teamed up with influencer@ annalee15 to chat all things motherhood with some of her favorite people on our new limited series, momfessionals.",4,1,0.9032596,0.49584767,0.1666666666666666,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
561,sonicdrivein_1175,we asked you for your favorite songs and we’ ll give you one of them 💅🏼# sonicdrinkremix# march5 📷:@ tahrithebengal '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',3,1,0.8079967,0.49584767,0.0465116279069767,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
567,sonicdrivein_1220,break out your snowshoes and grab a$ 25 sonic gift card and receive a$ 5 app ebonus as a gift for you !# snowshoes# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamiliesideas# march5 📷:,4,1,0.5675205,0.49584767,0.096774193548387,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
587,sonicdrivein_496,"no matter how many times we try to eat our food, we’ ll always end up with the same result.",1,1,0.97458863,0.49584767,0.05,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
607,sonicdrivein_742,⚠️flash warning⚠️ watch the full episode of momfessionals with@ annalee15 now on youtube </s># momfessionals# bts# bloopers ''# momfessionals ''# bts# bloopers ''# bts# bloopers ''#,0,1,0.90147084,0.49584767,0.0,0.0,0.0,0.0
623,sonicdrivein_1755,autumn leaves fallin down like pieces into place.,0,1,0.8416477,0.49584767,0.0,0.0,0.0,0.0
625,sonicdrivein_85,"we’ ve got something you’ re going to love 💅 stay tuned for our new commercials with@ annalee15 and our new website, which will air on tv starting at 8/7c on@ paramountnetwork.*) 🍿# getawaywithit# somethingscookin# march5",0,1,0.74091506,0.49584767,0.0,0.0,0.0,0.0
646,sonicdrivein_2095,singer& salsa star: kevin bieber✨ teamed up with@ annalee15 to bring you the full episode of momfessionals with@ annalee15 now on youtube </s># momfessionals# bts# bloopers ''# bloopers ''# bloopers '',2,1,0.8138417,0.49584767,0.064516129032258,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
