,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
35,sonicdrivein_2076,i want you to be on board with this one.,1,1,0.97991115,0.50324816,0.0449328964117221,9.997901319273777e-309,9.997901319273777e-309,9.997901319273777e-309
74,sonicdrivein_1199,"slush# sonicdrivein# march5 📷, the 50th anniversary of sonic, a sonic festival taking place in august.",0,1,0.9166825,0.50324816,0.0,0.0,0.0,0.0
97,sonicdrivein_1022,one of the few things that can be accomplished with one drink… so we’ ve partnered with influencer@ annalee15 to bring you all the latest episode of momfessionals with@ annalee15 now on youtube.,2,1,0.6895436,0.50324816,0.0606060606060606,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
128,sonicdrivein_945,we asked you for your thoughts on the sonic drive-in.,1,1,0.96410376,0.50324816,0.1,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
129,sonicdrivein_1376,a sonic run is in order ... and a sonic run is in order.,0,1,0.9525567,0.50324816,0.0,0.0,0.0,0.0
154,sonicdrivein_1459,not sure who’ s more excited for this sonic drive-in.,2,1,0.9534116,0.50324816,0.1097623272188052,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308
167,sonicdrivein_1616,when you don’ t want to mess up your date tonight.,0,1,0.9637649,0.50324816,0.0,0.0,0.0,0.0
178,sonicdrivein_98,not me to make a playlist for my next trip to the drive-in.,0,1,0.28423512,0.50324816,0.0,0.0,0.0,0.0
192,sonicdrivein_2052,"alright, we 're taking a look at the costumes of the game.",0,1,0.9713399,0.50324816,0.0,0.0,0.0,0.0
238,sonicdrivein_2100,they’ re coming to get you some of our favorite sonic drinks.,1,1,0.9736964,0.50324816,0.0427847599193826,1.142391010069532e-308,1.142391010069532e-308,1.142391010069532e-308
251,sonicdrivein_2185,"no, no, that 's not me.",0,1,0.9519772,0.50324816,0.0,0.0,0.0,0.0
309,sonicdrivein_1358,is this a cheese or a tots? we’ re talking about a treat.,0,1,0.9744333,0.50324816,0.0,0.0,0.0,0.0
320,sonicdrivein_1788,the flavorings are still out there 🎁 and we’ re taking a look at what they’ re doing.,1,1,0.9618931,0.50324816,0.0525533038281536,2.1048296854718573e-308,2.1048296854718573e-308,2.1048296854718573e-308
334,sonicdrivein_780,just setting the app up for the day so we can get some of the awesome vibes out there 🤩# getawaywithit# somethingscookin# march5 📷:@ tkacharysillustration ''# march5 📷:@ kimchi.,0,1,0.70040786,0.50324816,0.0,0.0,0.0,0.0
336,sonicdrivein_78,the drink of the day is the sonic drink.,4,1,0.967601,0.50324816,0.2222222222222222,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
339,sonicdrivein_566,i 'm not afraid to admit it to myself but i’ m afraid to admit it to myself 🎄🏼‍♂️🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫�,0,1,0.92894787,0.50324816,0.0,0.0,0.0,0.0
348,sonicdrivein_497,not me telling my friends that i only drink water# drinkhoplife# dadjokes# drinkhoplife# fall# fall# fall# winterbreak# summerbreak# winterbreak# winterbreak# wintercrunchedup# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonsending# seasonsending# seasonsending,1,1,0.7850401,0.50324816,0.0357142857142857,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
376,sonicdrivein_690,i got the wrong one.,0,1,0.9671349,0.50324816,0.0,0.0,0.0,0.0
389,sonicdrivein_655,this one’ s for you.,0,1,0.8575564,0.50324816,0.0,0.0,0.0,0.0
400,sonicdrivein_414,"the only reason i have my food at home 🤩 tag@ sonicdrivein for a feature in next month’ s cookbook 🥤 and follow us on instagram, google+ or facebook ! or subscribe🥤# getthefatwhileyouwfritter# grease# bts# bloopers",0,1,0.7017777,0.50324816,0.0,0.0,0.0,0.0
409,sonicdrivein_163,not me thinking my food is better than my food.,0,1,0.31787714,0.50324816,0.0,0.0,0.0,0.0
414,sonicdrivein_809,let 's see if we can get this to work.,0,1,0.9631273,0.50324816,0.0,0.0,0.0,0.0
459,sonicdrivein_789,picked up some of the best cheeseburgers ever.,0,1,0.9673226,0.50324816,0.0,0.0,0.0,0.0
483,sonicdrivein_1897,a good meme.,0,1,0.9482819,0.50324816,0.0,0.0,0.0,0.0
493,sonicdrivein_1572,thank you for your gift to us.,0,1,0.9700608,0.50324816,0.0,0.0,0.0,0.0
515,sonicdrivein_1927,"new year, new york.",0,1,0.6573242,0.50324816,0.0,0.0,0.0,0.0
536,sonicdrivein_290,not me ordering a$ 25 cheeseburger to order for$ 7.,1,1,0.48745733,0.50324816,0.1,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
537,sonicdrivein_486,you know what happens when you don’ t wear your wrong clothes?# concertjunkie# festivalseasonal# seasonal# musicfestivallineup# festivalseasonal# musicfestivallineup# festivalseasonal# festival-exclusive# festival-exclusive# festival-exclusive# festival-exclusive# festival,0,1,0.9092363,0.50324816,0.0,0.0,0.0,0.0
541,sonicdrivein_1809,the flavor of the fiesquee is in the air.,2,1,0.972924,0.50324816,0.0018699283309335,1.8723278908991e-310,1.8723278908991e-310,1.8723278908991e-310
551,sonicdrivein_1675,we’ re taking a look at the sonic menu for a week.,3,1,0.9781342,0.50324816,0.0724330347511797,9.670131127031886e-309,9.670131127031886e-309,9.670131127031886e-309
561,sonicdrivein_1175,we asked you for your favorite sonic drink combinations.,1,1,0.9612809,0.50324816,0.0209861780930624,4.20262166383659e-309,4.20262166383659e-309,4.20262166383659e-309
