prompt,label,image
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I HAVE MAGIC MY HAT IS GRAY AND NOW ITS GREEN,imgflip_159
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","image tagged in memes,drake hotline bling",imgflip_0
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",BOOTIE HAD ME LIKE,imgflip_13
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, are, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",Go ahead HanA$$holeSolo; Say CNN one more time!,imgflip_110
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, are, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",NOO! YOU CANT JUST DELETE YOUR ONLINE CLASSES; HA HA INSPECT TOOL GO CLICK,imgflip_784
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh",bokete_98637
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",KNOWS THE SMART THING TO DO; DOES SOMETHING STUPID INSTEAD,imgflip_1535
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",HOW YOU LIKE ME NOW,imgflip_18
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","""S.G.K. K.""",bokete_101136
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",? !,imgflip_3
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, are, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",WHEN U WIN A DEFENSE IN DOMINATIONS; CUZ THE ENEMY USED ONLY CALVARY RAIDERS,imgflip_66
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",happy birthday mr. tennant!,advice-doctor
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","I'M GOING TO MAKE MY
 OWN WEBSITE WITH NO ADMINS AND NUDE CELEBRITIES",imgflip_213
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",Ampan Man. Everybody. Smile.,bokete_38021
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.","Oh, my God! It's today's Okaz!",bokete_63798
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",WHY DID SPIDER MAN GET FIRED HE WAS ALWAYS ON THE WEB!,imgflip_94
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","Oh, did I turn off the main gas valve?",bokete_2426
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",WHAT DID THE HOUSEWIFE SAY WHEN SHE FOUND THE MOTHS EATING HER BEDDING; HOLY SHEET!,imgflip_94
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",WHAT IF OXYGEN MAKES OUR VOICES DEEPER AND HELIUM JUST BRINGS THEM BACK TO NORMAL?,imgflip_112
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",Hole in One!,bokete_2611
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","In the recession, we've made a list of all the good things we've done.",bokete_76980
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.","Father, that's a cake.",bokete_60806
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",Teacher:lets play sims; Kids:yay! Kid named sims,imgflip_23
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",AWSOME,imgflip_132
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",The skin's stuck.,bokete_69518
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no!",bokete_97085
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",Sweat-per-per-per-existence competition.,bokete_95786
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",SHE SAID IT'S TOO SMALL; EVERYTHING IS SMALL TO A JUMBO JET HANGER,imgflip_43
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",FORTNITE; SEASON 11; SEASON 1 CHAPTER 2,imgflip_1
