g_fc_loss,g_con_loss,g_unc_loss,d_con_r2f_loss,d_con_f2r_loss,d_con_f_loss,d_con_m_loss,d_unc_r_loss,d_unc_f_loss,d_unc_m_loss
0.04150390625,0.6875,0.73046875,0.6875,0.6484375,0.5390625,0.765625,0.69140625,0.77734375,0.703125
3.09375,8.0625,2.15625,22.25,64.0,181.0,0.6640625,0.68359375,27.75,0.6953125
1.6875,12.3125,4.09375,31.375,87.0,235.0,0.5703125,0.6484375,79.5,0.72265625
0.076171875,11.875,3.703125,113.0,58.75,175.0,0.63671875,0.66015625,217.0,0.72265625
0.0174560546875,20.25,5.125,31.625,72.0,117.0,0.57421875,0.66796875,27.75,0.6640625
0.007293701171875,17.25,5.875,28.25,30.75,988.0,0.51953125,0.70703125,34.25,0.6875
0.01458740234375,20.125,9.4375,46.75,13.1875,200.0,0.498046875,0.6640625,42.5,0.68359375
0.2177734375,19.25,9.1875,2.609375,51.5,448.0,0.51171875,0.67578125,39.0,0.671875
0.01483154296875,16.125,2.15625,464.0,9.9375,320.0,0.373046875,0.67578125,18.5,0.6796875
0.62109375,9.75,11.875,148.0,47.75,352.0,0.33984375,0.63671875,94.0,0.671875
0.21484375,12.375,7.4375,43.5,478.0,616.0,0.33203125,0.63671875,71.5,0.67578125
0.0208740234375,14.1875,10.3125,38.0,60.0,544.0,0.33203125,0.6328125,91.0,0.6796875
0.1396484375,15.0,8.9375,41.0,10.75,506.0,0.337890625,0.625,50.5,0.6796875
0.111328125,11.5625,7.3125,56.0,55.25,552.0,0.333984375,0.61328125,73.0,0.67578125
0.057373046875,8.125,4.4375,31.75,44.5,502.0,0.2890625,0.64453125,39.5,0.69921875
0.0281982421875,6.875,4.84375,76.5,55.5,294.0,0.2890625,0.62890625,71.5,0.69140625
0.0019378662109375,12.9375,3.71875,80.0,42.0,314.0,0.3046875,0.66796875,46.75,0.70703125
0.000415802001953125,19.75,11.625,52.5,54.75,119.0,0.28125,0.640625,588.0,0.69140625
0.0030975341796875,13.0,4.28125,83.0,126.5,150.0,0.2578125,0.65234375,95.5,0.6796875
0.006256103515625,13.8125,2.25,88.5,109.5,134.0,0.244140625,0.66015625,58.5,0.6796875
0.007537841796875,8.4375,16.75,60.0,104.0,48.5,0.2421875,0.62890625,31.875,0.6875
0.0035400390625,7.5,3.546875,69.5,202.0,63.25,0.28125,0.6484375,58.5,0.68359375
0.000270843505859375,11.9375,2.6875,53.5,56.75,43.25,0.2734375,0.65625,58.25,0.671875
0.00110626220703125,12.625,11.625,82.0,134.0,26.5,0.279296875,0.65234375,57.75,0.66796875
0.003662109375,7.125,3.015625,80.0,138.0,372.0,0.28515625,0.66796875,47.75,0.72265625
0.0045166015625,8.125,2.609375,73.5,92.0,51.5,0.27734375,0.625,72.5,0.68359375
0.00445556640625,10.0625,4.28125,67.0,213.0,49.0,0.283203125,0.64453125,61.25,0.64453125
0.00148773193359375,11.25,4.25,80.5,97.5,60.0,0.279296875,0.62109375,113.0,0.67578125
0.0012359619140625,8.4375,6.8125,71.0,68.0,75.0,0.259765625,0.65234375,167.0,0.671875
0.0004024505615234375,9.75,9.5625,50.25,133.0,98.0,0.267578125,0.6015625,105.5,0.640625
0.00128173828125,5.1875,3.8125,64.0,93.0,109.0,0.275390625,0.65625,59.25,0.6484375
0.00171661376953125,43.25,4.21875,52.5,102.0,114.5,0.265625,0.65625,121.0,0.6875
0.00179290771484375,4.625,3.421875,60.5,69.0,130.0,0.244140625,0.59375,84.0,0.6328125
0.00182342529296875,4.78125,2.6875,93.0,70.5,134.0,0.27734375,0.6171875,107.5,0.68359375
0.00089263916015625,9.4375,6.375,17.875,89.0,138.0,0.259765625,0.6171875,109.5,0.61328125
0.0003662109375,7.90625,29.625,50.5,48.5,124.0,0.2734375,0.609375,45.5,0.67578125
0.001007080078125,10.0625,5.90625,46.5,70.5,117.0,0.26953125,0.62890625,113.0,0.6171875
