train_G,train_D,test_G,test_D,save
1.88140625,2.4576171875,1.18126953125,2.391484375,V
1.1030810546875,2.3648046875,1.05482421875,2.350859375,V
1.03177001953125,2.34451171875,1.01783203125,2.341875,V
1.0101708984375,2.337919921875,1.001318359375,2.337109375,V
0.9816748046875,2.336240234375,0.9780859375,2.3351953125,V
0.977919921875,2.333564453125,0.974638671875,2.335,V
0.97394287109375,2.332919921875,0.971611328125,2.334921875,V
0.9659228515625,2.331650390625,0.978046875,2.33234375,V
0.96112060546875,2.3320703125,0.96455078125,2.33140625,V
0.96126953125,2.3310546875,0.969775390625,2.3334375, 
0.9602978515625,2.33197265625,0.9642578125,2.331328125,V
0.95908935546875,2.330185546875,0.9522265625,2.32984375,V
0.9546630859375,2.331513671875,0.9546875,2.331015625, 
0.9508935546875,2.331494140625,0.96037109375,2.3282421875, 
0.94923583984375,2.330458984375,0.948232421875,2.3283984375,V
0.94642578125,2.3306640625,0.95857421875,2.330625, 
0.94853515625,2.33109375,0.96015625,2.330703125, 
0.94988525390625,2.330400390625,0.953740234375,2.3305078125, 
0.9500048828125,2.3301171875,0.946181640625,2.3286328125,V
0.94425048828125,2.329423828125,0.944169921875,2.3287109375,V
0.9448828125,2.328935546875,0.94138671875,2.329921875, 
0.95169921875,2.3291796875,0.95158203125,2.3271484375,V
0.942802734375,2.328505859375,0.948935546875,2.3297265625, 
0.94455810546875,2.32724609375,0.940244140625,2.3272265625, 
0.9443505859375,2.32822265625,0.94591796875,2.3275, 
0.9408837890625,2.328173828125,0.94841796875,2.3276171875, 
0.9358154296875,2.32814453125,0.937763671875,2.327734375,V
0.94157958984375,2.327939453125,0.9422265625,2.3284375, 
0.9392822265625,2.32900390625,0.94279296875,2.32859375, 
0.94364013671875,2.32796875,0.939375,2.327578125, 
