train_F,test_F,save
911293.9354838709,898935.4666666667,V
907594.3225806452,899481.6, 
894447.4838709678,889105.0666666667,V
904819.6129032258,888832.0, 
891012.1290322581,883643.7333333333,V
926356.6451612903,922419.2, 
898939.8709677419,899208.5333333333, 
917636.1290322581,887466.6666666666, 
909774.4516129033,925696.0, 
903630.4516129033,893201.0666666667, 
918098.5806451613,889105.0666666667, 
895372.3870967742,900027.7333333333, 
920212.6451612903,927607.4666666667, 
911426.0645161291,904942.9333333333, 
904158.9677419355,904942.9333333333, 
