image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor
sonicdrivein_290,it's not a bad idea to have more than one tweet per day so you can keep your eye on it.,0.9999969005584717,1,sonicdrivein_65,`` i'm going to give you a taste of my chocolate ice cream.,0.9999533891677856,1,sonicdrivein_742,we're not going to let you down.,0.9999852180480957,1,sonicdrivein_91,this is the first time i’ ve posted a post with an emoji in it.,0.9999892711639404,1,sonicdrivein_283,"when you’ re at a restaurant and the waiter asks, “ what would u like to order? just point your phone in front of them.",0.9801291823387146,1,sonicdrivein_376,"you know when you’ re in the mood for something sweet, this is your go-to.",0.9948437213897705,1
sonicdrivein_522,i'm going to show you how it works.,0.9986452460289001,1,sonicdrivein_373,"when i went to the grocery store and saw this ad for a 30% discount on bread rolls, but it said they had no gluten in them! lol!! 🤣🤷‍♂️👨🏻🧑🏽💰🎉🍞🥗🌿 🌱 🍜 🥤 😭😳😂 😂🙌",0.6026740670204163,1,sonicdrivein_446,"it’ s the time of year to get your hair done, and it's not just about looking good but also feeling great too! 🧖‍♂️ pic.",0.08236514776945114,0,sonicdrivein_457,"we’ re not going to be here for the rest of your life, but we are gonna make sure you have a good time! </s>
What is it with this picture? I don't know what that means.",0.026930468156933784,0,sonicdrivein_670,the only thing i want to eat for breakfast is a bacon and egg sandwich.,0.9999898672103882,1,sonicdrivein_571,and you know what? i'm going to take a bite out of it.,0.999839186668396,1
sonicdrivein_344,"i don't know if you like it or not, but i'm going to post this meme every day for the rest of my life.",0.997786283493042,1,sonicdrivein_495,"for the first time ever, we're going to have an ice cream party.",0.9998970031738281,1,sonicdrivein_496,10% of all the people on this page have never been to a burger shop before.,0.9770901203155518,1,sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",0.9999998807907104,1,sonicdrivein_1384,"it's not about what you look like, it’ s who u are.",0.9689149856567383,1,sonicdrivein_670,"the only thing i want to say is, `` oh my god.",0.9995262622833252,1
sonicdrivein_69,#1.,0.9999200105667114,1,sonicdrivein_497,"this is the #1 thing that makes me want to buy a new phone, and i don't know why.",0.9983065128326416,1,sonicdrivein_1594,it’ s the best time of my life.,0.9997851252555847,1,sonicdrivein_497,the only thing i couldn't stop thinking about was this.,0.9964969754219055,1,sonicdrivein_344,"i'm not sure if you like it or i do, but this is the best ice cream ever.",0.986847460269928,1,sonicdrivein_798,this week we're going to be talking about things that make you sweat a little bit.,0.9999737739562988,1
sonicdrivein_414,`` i'm going to kill you.,0.9999412298202515,1,sonicdrivein_786,"i'm not a dentist, but i know what it feels like when you get your teeth whitened for the first time in years.",0.998254120349884,1,sonicdrivein_80,"it’ s like, “ i love you so much.",0.9999542236328125,1,sonicdrivein_89,what’ s your favorite ice cream flavor? </s> what do you like to eat for breakfast on a hot summer day.,0.04780496656894684,0,sonicdrivein_491,"yes, i don't like this.",0.6429504752159119,1,sonicdrivein_522,"today's your day, everyone’ s going to have a ton of fun with our best-selling product for the month of march! it will be called 👨🏻👩🏽🧑‍💻🤷‍♂️🎉# 🦅🥳🍰
Q: what is on sale in march? A:",0.004485191777348518,0
sonicdrivein_163,`` i'm not going to be a restaurant.,0.999994158744812,1,sonicdrivein_505,i'm here to show you how easy it is.,0.999998927116394,1,sonicdrivein_143,"we're not going to be here all day, but we are.",0.9999619722366333,1,sonicdrivein_234,what do you think of this? </s> it’ s the best ice cream ever.,0.9998511075973511,1,sonicdrivein_408,we all know what it feels like to be hungry.,0.9781595468521118,1,sonicdrivein_645,"`` we're going to make sure you know what it feels like when they walk in the front door! '' he said, with a big grin on his face.",0.9931079149246216,1
sonicdrivein_571,"and i'm like, you know what? this is the best ice cream bar in all of north america.",0.9779917597770691,1,sonicdrivein_78,"if you're looking for something fun to do in your free time, here’s a list of the most ridiculous things people say when they get home from work or school.",0.906365156173706,1,sonicdrivein_596,it's my first day of school.,0.9985800981521606,1,sonicdrivein_408,we all know what it feels like to be hungry.,0.9781595468521118,1,sonicdrivein_572,today i’ m going to show you what it feels like when your dog's mouth is full of food after a hard day at the office.,0.9998893737792969,1,sonicdrivein_457,"i love you so much, but i don’ t know what to do with it.",0.9965662360191345,1
sonicdrivein_1384,"i can't say no to this, but i.",0.9992826581001282,1,sonicdrivein_290,"when you’re on your way home from work and someone says, “ i hope this is the best day of my life” it makes me smile.",0.9999823570251465,1,sonicdrivein_505,"this is what it looks like when you don't eat your french fries: </s>🍟🥔<sup style=""font-size:'12px'>french fry&lt;br/&gt;&nbsp;<i class='fa fa-hamburger'></i></su>&amp;#x3c94;</p><img src=",0.9996426105499268,1,sonicdrivein_491,"yes, i don't like this.",0.6429504752159119,1,sonicdrivein_780,"for the first time in 2017, we’re going to be doing our own version of this meme.",0.9942315816879272,1,sonicdrivein_65,this is the most delicious cheesecake i’ve ever had! </s> my girlfriend and I just can not get enough of it.,0.029271602630615234,0
sonicdrivein_497,"yeah, i'm not a fan.",0.9997490048408508,1,sonicdrivein_376,"in 2019, the world’s most popular food brand was named after me! so you know what i mean.",0.9862793684005737,1,sonicdrivein_65,this is what i got for my 20th birthday.,0.9991878867149353,1,sonicdrivein_534,"when you can’t decide what ice cream flavor to get because there are so many of them! </s>
10,539👍268💰""
### Questions and Detailed Answers Related to the Extract:
#### Question 1: What does it mean when someone says they had a bad day at work?
**Answer",0.0005007628933526576,0,sonicdrivein_80,"it’ s like, “ i love you so much.",0.9999542236328125,1,sonicdrivein_786,i know what you’ re thinking.,0.999154806137085,1
sonicdrivein_780,i'm not going to tell you about this but i was on my way home from a bar and they were laughing at me for the first time in years.,0.999705970287323,1,sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",0.9999998807907104,1,sonicdrivein_645,"`` i'm not sure if this is the best place to put an ice cream cone, but it does n’t matter.",0.969556450843811,1,sonicdrivein_69,"dude, i know what you’ re thinking.",0.9962693452835083,1,sonicdrivein_1594,it’ s not the only thing i can think of when you hear “ this is my mom 😂😂🤷‍♂️👨🏻🧑🏽💕#momofthemonth pic.,0.8617206811904907,1,sonicdrivein_690,"for the 1st time in almost a decade, we’ re going to be having an ice cream sundae.",0.9993757605552673,1
