train_F,test_F,save
7961.344,7963.897435897436,V
7961.856,7961.025641025641, 
7962.9312,7958.5641025641025, 
7961.2416,7959.179487179487,V
7961.856,7963.282051282052, 
7962.2656,7963.897435897436, 
7962.7264,7962.666666666667, 
7961.2416,7962.666666666667, 
7963.4944,7961.846153846154, 
7963.0336,7962.871794871795, 
7962.112,7962.051282051282, 
7962.0608,7962.666666666667, 
7961.344,7963.076923076923, 
7960.1152,7961.641025641025, 
7961.5488,7962.051282051282, 
7962.5728,7961.4358974358975, 
7961.5488,7963.692307692308, 
7960.6784,7965.948717948718, 
7962.112,7960.0, 
7961.088,7964.102564102564, 
7961.856,7961.846153846154, 
7960.9856,7962.25641025641, 
7962.112,7959.589743589743, 
7962.368,7961.641025641025, 
7961.7024,7958.974358974359, 
7961.856,7963.076923076923, 
7961.856,7962.666666666667, 
7962.7776,7962.871794871795, 
7962.2656,7961.846153846154, 
7962.5216,7960.820512820513, 
