bleu_threshold,trainData_size,testData_size,train_loss,test_loss,train_bleu,test_bleu,save
0.1,162050,40520,2.6947676885336955,2.8193831749753206,0.2459078391137985,0.012184308274149533,V
0.1,162050,40520,2.3363497246050358,2.403469737166831,0.16581563579980194,0.020293875280815808,V
0.1,162050,40520,2.271359502283387,2.3204744570582427,0.1628910107072327,0.02646213005128487,V
0.1,162050,40520,2.2434911904468033,2.2810610500987165,0.16036250694273008,0.03367751461556748,V
0.1,162050,40520,2.223688981115774,2.2701038838845014,0.15662799308812617,0.03834427404578034,V
0.1,162050,40520,2.2149213735805975,2.257548355750247,0.15870174802517892,0.034437774864869965,V
0.1,162050,40520,2.2024350661873613,2.2433867534550838,0.16012182562947405,0.031256096912808874,V
0.1,162050,40520,2.1942884472969637,2.230274015918065,0.1567726333004199,0.02977288064625999,V
0.1,162050,40520,2.1886691750493705,2.235639807502468,0.1551678983584304,0.03213834200093462, 
0.1,162050,40520,2.181810336182424,2.2223766812685093,0.15574057717230363,0.029471462451247033,V
0.1,162050,40520,2.1795057354665515,2.233918049728529,0.1553164920698594,0.02830906258038035, 
0.1,162050,40520,2.172792983214021,2.220618290350444,0.15231009704394044,0.028849227860552024,V
0.1,162050,40520,2.1677218973710195,2.227543882650543,0.15367550064798827,0.032214815676649446, 
0.1,162050,40520,2.1639477520982475,2.2262964276900297,0.1494240426746489,0.03213759591629349, 
0.1,162050,40520,2.163810343896569,2.2354200086377096,0.1497070553567018,0.026692297163070797, 
