train_G,train_D,test_G,test_D,save
5.45021484375,1.867001953125,4.91953125,1.8497265625,V
4.91630859375,1.84822265625,4.89265625,1.8496484375,V
4.74548828125,1.847373046875,4.6984375,1.8448828125,V
4.73123046875,1.845771484375,4.69578125,1.843203125,V
4.72390625,1.8450390625,4.577734375,1.8433984375,V
4.691953125,1.8444921875,4.567734375,1.8436328125,V
4.66533203125,1.8436328125,4.669296875,1.8462109375, 
4.68677734375,1.845927734375,4.63625,1.8454296875, 
4.6719140625,1.844541015625,4.631796875,1.84296875,V
4.6726953125,1.845595703125,4.605625,1.8419921875, 
4.67306640625,1.845224609375,4.626796875,1.8433984375, 
4.66177734375,1.842958984375,4.64015625,1.84296875, 
