train_G,train_D,test_G,test_D,save
7.9761875,1.986625,7.55175,1.9045625,V
7.36340625,1.8866796875,7.3776875,1.8805625,V
7.2096875,1.8759375,7.12775,1.874125,V
7.267875,1.8688359375,7.2654375,1.87425, 
7.200828125,1.8665859375,7.1674375,1.867875,V
7.08678125,1.8639140625,7.1795,1.864,V
7.159078125,1.86328125,7.2314375,1.864125, 
7.171359375,1.8612421875,7.260125,1.8625625,V
7.103453125,1.861890625,7.0880625,1.865625,V
7.152671875,1.861546875,7.1069375,1.8618125, 
7.133484375,1.862015625,7.0501875,1.865, 
7.107421875,1.8620625,7.1085,1.86309375, 
7.105703125,1.8612890625,7.0638125,1.8584375, 
7.128578125,1.8597265625,7.175625,1.86428125, 
