image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss
sonicdrivein_1124,"we- the eye  the little screwdriver  the, i is be a simple. � ",6,1,0.050259255,0.45860085,0.3053548683915197,1.7665365515873297e-308,1.7665365515873297e-308,1.7665365515873297e-308,4.65625
sonicdrivein_1667,"i you rolls is is’t the thing,, it'.!  it the' this get the new ice! delicious, delicious,,� ��",2,1,0.035886288,0.45860085,0.07961459006375435,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308,4.875
sonicdrivein_726,"i,  i, i. i</00% ",0,1,0.74746346,0.45860085,0.0,0.0,0.0,0.0,4.8125
sonicdrivein_976,wea: you! but know re be to get in and ���,1,1,0.052376132,0.45860085,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.28125
sonicdrivein_1671,"# you  ice york cream areumps up out theempty sale the,. but can re be to reason to be them dog along family two2 friends  both of them.   friends. let’ll see you all day the bowls. </
 time offer   free included.   and new",16,1,0.037243396,0.45860085,0.24629813313570398,0.10806958902893132,0.018450905443963883,1.6832397221352885e-308,4.15625
sonicdrivein_1535,the only thing that than a wavess ice food cream is is the who try them with your  by my’ a202 a!a,8,1,0.03819351,0.45860085,0.3181818181818182,0.09523809523809525,0.05000000000000001,2.2250738585072626e-308,4.34375
sonicdrivein_2224,i you ever on? the birthday fresh?? work??  a? are day? a special mint,1,1,0.058728527,0.45860085,0.04653136125221825,1.4495000173229606e-308,1.4495000173229606e-308,1.4495000173229606e-308,6.21875
sonicdrivein_772,when a hand to the test! this  s challenge  below with the answers you you can think!� ,8,1,0.059046287,0.45860085,0.3660628445776135,0.11112622067534698,1.9781123889553905e-308,1.9781123889553905e-308,4.375
sonicdrivein_329,when is got a little more!�  on the of storegin.com for get your ice the favorite fruit summer flavors!,5,1,0.06862171,0.45860085,0.2631578947368421,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,4.5
sonicdrivein_1072,a�️�’ a new of � for the! day  many you like your favorite? � ,3,1,0.11769257,0.45860085,0.17295380292972626,1.7958965995989704e-308,1.7958965995989704e-308,1.7958965995989704e-308,4.625
sonicdrivein_1113,you***  up your eyes lights with these favorite food screwdriver.  ,4,1,0.051233966,0.45860085,0.36193496721438384,2.0133300850710214e-308,2.0133300850710214e-308,2.0133300850710214e-308,5.34375
sonicdrivein_2184,"i the2999, the newissippi river school basketball a  dog eating contest. the1    did of dogs did you eaten? year? aa",6,1,0.057080865,0.45860085,0.25821239292751735,0.04530041981184515,1.9151388181520816e-308,1.9151388181520816e-308,3.296875
sonicdrivein_1195,i you for the friends teachers who  are you all a great day year! ��,5,1,0.051902562,0.45860085,0.3333333333333333,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,3.203125
sonicdrivein_1925,"the is is for a,. are the taste.  like, it are. you cook in.  the of",6,1,0.050457776,0.45860085,0.19470019576785122,1.7328892633971685e-308,1.7328892633971685e-308,1.7328892633971685e-308,4.9375
sonicdrivein_1919,the a look from the and and this ice funon-.    a in35.  day long week! ,5,1,0.05107613,0.45860085,0.21832820082079518,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308,4.78125
sonicdrivein_911,i in the  back to school  ��‍🏫  s get back the school scheduleacus and ,5,1,0.045948226,0.45860085,0.2857142857142857,0.15384615384615385,0.08333333333333333,2.2250738585072626e-308,3.78125
sonicdrivein_69,the you you’ hard a own and we is me,1,1,0.046166867,0.45860085,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.46875
sonicdrivein_849,"i you’ about all words of the end-in, you’ of the' … � , the the the the the,,, the the, the the   the the the     the the the, the   the  ,,,  ",18,1,0.29159293,0.45860085,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,3.40625
sonicdrivein_1668,i a phone friend and tell to the! and! to ,4,1,0.054910064,0.45860085,0.27145122541078787,0.10053749089288437,2.0133300850710214e-308,2.0133300850710214e-308,6.34375
sonicdrivein_2023,"when  thing of  is the, hen_ who the@instagramacem udd who he he he he best time is of the cream. ''sp�## ice� #🎉 🎶##�ervice##, thean",7,1,0.042882305,0.45860085,0.24,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.40625
sonicdrivein_1035,"# n think in   a  tv??, we do n we",3,1,0.19822916,0.45860085,0.24561922592339458,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308,5.0
sonicdrivein_830,"i us  familyin crew squad theam!!    the300onsas stickers! and, and& monsters!    event!!’ kit ��🦇�    coming everyone  3- up.  of per child pack. kids meal..",3,1,0.0474111,0.45860085,0.010697182659733798,1.90416171966807e-309,1.90416171966807e-309,1.90416171966807e-309,5.1875
sonicdrivein_1983,the’t forget the dog go without without. '' childrencreamday #nationalare  ,0,1,0.23153652,0.45860085,0.0,0.0,0.0,0.0,4.03125
sonicdrivein_588,i’ this could do a milkshake bit? much? ,2,1,0.5539335,0.45860085,0.19470019576785122,1.7328892633971685e-308,1.7328892633971685e-308,1.7328892633971685e-308,4.3125
sonicdrivein_1888,the of kids- and  is got a betterier! this� cup! and wings  wings and mac bbq potato chicken chicken,5,1,0.063250236,0.45860085,0.14979939158154268,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308,6.15625
sonicdrivein_395,the me s get what we thinks the  think thinking on. ,3,1,0.048917145,0.45860085,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,3.640625
sonicdrivein_2043,"thei you want' it, you can do it. "" thecloudsenes  the  bowl kitchen. ",6,1,0.052793037,0.45860085,0.39572488576635756,0.14290065319340692,0.07794581083276739,1.9077870467055724e-308,3.8125
sonicdrivein_1177,you for the us  club! the@ acha!  you’ it on you up with the the fun we our free reel! instagram instagramtv channel ��,11,1,0.20402955,0.45860085,0.30668147154310776,0.040001931070840144,2.0471667756573244e-308,2.0471667756573244e-308,3.96875
sonicdrivein_1805,i u for for a@ youracher    be  to $10 to the schools!! the@ orsgift.com,2,1,0.16807473,0.45860085,0.0999532196250186,1.556823072428848e-308,1.556823072428848e-308,1.556823072428848e-308,4.875
sonicdrivein_1454,"the, no can re not the. youyouno is is-gooey is -ix iso is is is the is the! it!  it the!",7,1,0.37838078,0.45860085,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.625
sonicdrivein_1232,the know be be the million at you’ re in’s first girl nightter at ackingqu   the the you the@ aranank@ to #quaranqueen to to you @usm with to twitter next entry.  is: 1:15/ 10:,13,1,0.10790735,0.45860085,0.027055576483819985,2.92403186096245e-309,2.92403186096245e-309,2.92403186096245e-309,4.1875
sonicdrivein_1298,i best that is  the!  your a  and of bacon and a  bacon pork with a side of fries fries. ananan the thean,8,1,0.068379484,0.45860085,0.3043478260869566,0.0909090909090909,0.047619047619047616,2.2250738585072626e-308,5.15625
