train_G,train_D,test_G,test_D,save
3.8434921230307575,2.0772693173293324,3.2442286036036037,1.994920701951952,V
3.1156519598649663,1.9548861824831207,3.0052083333333335,1.8980152027027026,V
2.9871999249812453,1.9208991701050262,2.9525853978978978,1.91528246996997,V
2.9210075956489123,1.903562804763691,2.8686186186186187,1.8757038288288288,V
2.9114544261065265,1.8933414994373594,2.8886308183183185,1.9069186373873874, 
2.8762952456864217,1.8815026022130532,2.8472339527027026,1.9033877627627627,V
2.8650863887846962,1.8811626734808702,2.8399141328828827,1.865897147147147,V
2.8607816016504124,1.8782117404351089,2.8541666666666665,1.8586711711711712,V
2.8728549324831207,1.8747391926106527,2.8997161223723724,1.8631639451951951, 
2.907471985183796,1.8720256235933983,2.9027895082582584,1.866331174924925, 
2.9094676012753187,1.8667567282445612,2.9188837274774775,1.8824019331831832, 
