image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor
sonicdrivein_290,it's not a bad idea to have more than one tweet per day so you can keep your eye on it.,0.77009117603302,1,sonicdrivein_65,`` i'm going to give you a taste of my chocolate ice cream.,0.15306773781776428,0,sonicdrivein_742,we're not going to let you down.,0.7327818274497986,1,sonicdrivein_91,this is the first time i’ ve posted a post with an emoji in it.,0.8577091097831726,1,sonicdrivein_283,"when you’ re at a restaurant and the waiter asks, “ what would u like to order? just point your phone in front of them.",0.057252056896686554,0,sonicdrivein_376,"you know when you’ re in the mood for something sweet, this is your go-to.",0.3171149790287018,0
sonicdrivein_522,i'm going to show you how it works.,0.18663716316223145,0,sonicdrivein_373,"when i went to the grocery store and saw this ad for a 30% discount on bread rolls, but it said they had no gluten in them! lol!! 🤣🤷‍♂️👨🏻🧑🏽💰🎉🍞🥗🌿 🌱 🍜 🥤 😭😳😂 😂🙌",0.134390726685524,0,sonicdrivein_446,"it’ s the time of year to get your hair done, and it's not just about looking good but also feeling great too! 🧖‍♂️ pic.",0.3520890772342682,0,sonicdrivein_457,"we’ re not going to be here for the rest of your life, but we are gonna make sure you have a good time! </s>
What is it with this picture? I don't know what that means.",0.03720510005950928,0,sonicdrivein_670,the only thing i want to eat for breakfast is a bacon and egg sandwich.,0.6721335649490356,1,sonicdrivein_571,and you know what? i'm going to take a bite out of it.,0.430412232875824,0
sonicdrivein_344,"i don't know if you like it or not, but i'm going to post this meme every day for the rest of my life.",0.6039215326309204,1,sonicdrivein_495,"for the first time ever, we're going to have an ice cream party.",0.27828580141067505,0,sonicdrivein_496,10% of all the people on this page have never been to a burger shop before.,0.8284825682640076,1,sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",0.9877036809921265,1,sonicdrivein_1384,"it's not about what you look like, it’ s who u are.",0.35058164596557617,0,sonicdrivein_670,"the only thing i want to say is, `` oh my god.",0.34099623560905457,0
sonicdrivein_69,#1.,0.8689755201339722,1,sonicdrivein_497,"this is the #1 thing that makes me want to buy a new phone, and i don't know why.",0.875377357006073,1,sonicdrivein_1594,it’ s the best time of my life.,0.18314683437347412,0,sonicdrivein_497,the only thing i couldn't stop thinking about was this.,0.7708901762962341,1,sonicdrivein_344,"i'm not sure if you like it or i do, but this is the best ice cream ever.",0.5804122686386108,1,sonicdrivein_798,this week we're going to be talking about things that make you sweat a little bit.,0.17216581106185913,0
sonicdrivein_414,`` i'm going to kill you.,0.826836347579956,1,sonicdrivein_786,"i'm not a dentist, but i know what it feels like when you get your teeth whitened for the first time in years.",0.6049630641937256,1,sonicdrivein_80,"it’ s like, “ i love you so much.",0.9705499410629272,1,sonicdrivein_89,what’ s your favorite ice cream flavor? </s> what do you like to eat for breakfast on a hot summer day.,0.09369749575853348,0,sonicdrivein_491,"yes, i don't like this.",0.8831363916397095,1,sonicdrivein_522,"today's your day, everyone’ s going to have a ton of fun with our best-selling product for the month of march! it will be called 👨🏻👩🏽🧑‍💻🤷‍♂️🎉# 🦅🥳🍰
Q: what is on sale in march? A:",0.006489815656095743,0
sonicdrivein_163,`` i'm not going to be a restaurant.,0.9774659872055054,1,sonicdrivein_505,i'm here to show you how easy it is.,0.3111377954483032,0,sonicdrivein_143,"we're not going to be here all day, but we are.",0.6516774892807007,1,sonicdrivein_234,what do you think of this? </s> it’ s the best ice cream ever.,0.2670377194881439,0,sonicdrivein_408,we all know what it feels like to be hungry.,0.3440214991569519,0,sonicdrivein_645,"`` we're going to make sure you know what it feels like when they walk in the front door! '' he said, with a big grin on his face.",0.1952379047870636,0
sonicdrivein_571,"and i'm like, you know what? this is the best ice cream bar in all of north america.",0.24677108228206635,0,sonicdrivein_78,"if you're looking for something fun to do in your free time, here’s a list of the most ridiculous things people say when they get home from work or school.",0.7808722853660583,1,sonicdrivein_596,it's my first day of school.,0.6613175272941589,1,sonicdrivein_408,we all know what it feels like to be hungry.,0.3440214991569519,0,sonicdrivein_572,today i’ m going to show you what it feels like when your dog's mouth is full of food after a hard day at the office.,0.0024482510052621365,0,sonicdrivein_457,"i love you so much, but i don’ t know what to do with it.",0.20367370545864105,0
sonicdrivein_1384,"i can't say no to this, but i.",0.11439982801675797,0,sonicdrivein_290,"when you’re on your way home from work and someone says, “ i hope this is the best day of my life” it makes me smile.",0.8623085021972656,1,sonicdrivein_505,"this is what it looks like when you don't eat your french fries: </s>🍟🥔<sup style=""font-size:'12px'>french fry&lt;br/&gt;&nbsp;<i class='fa fa-hamburger'></i></su>&amp;#x3c94;</p><img src=",0.03174638748168945,0,sonicdrivein_491,"yes, i don't like this.",0.8831363916397095,1,sonicdrivein_780,"for the first time in 2017, we’re going to be doing our own version of this meme.",0.543091893196106,1,sonicdrivein_65,this is the most delicious cheesecake i’ve ever had! </s> my girlfriend and I just can not get enough of it.,0.0009368757018819451,0
sonicdrivein_497,"yeah, i'm not a fan.",0.9881919026374817,1,sonicdrivein_376,"in 2019, the world’s most popular food brand was named after me! so you know what i mean.",0.21839280426502228,0,sonicdrivein_65,this is what i got for my 20th birthday.,0.22114910185337067,0,sonicdrivein_534,"when you can’t decide what ice cream flavor to get because there are so many of them! </s>
10,539👍268💰""
### Questions and Detailed Answers Related to the Extract:
#### Question 1: What does it mean when someone says they had a bad day at work?
**Answer",0.04869432374835014,0,sonicdrivein_80,"it’ s like, “ i love you so much.",0.9705499410629272,1,sonicdrivein_786,i know what you’ re thinking.,0.6653106808662415,1
sonicdrivein_780,i'm not going to tell you about this but i was on my way home from a bar and they were laughing at me for the first time in years.,0.8686809539794922,1,sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",0.9877036809921265,1,sonicdrivein_645,"`` i'm not sure if this is the best place to put an ice cream cone, but it does n’t matter.",0.37569695711135864,0,sonicdrivein_69,"dude, i know what you’ re thinking.",0.8308880925178528,1,sonicdrivein_1594,it’ s not the only thing i can think of when you hear “ this is my mom 😂😂🤷‍♂️👨🏻🧑🏽💕#momofthemonth pic.,0.05053626745939255,0,sonicdrivein_690,"for the 1st time in almost a decade, we’ re going to be having an ice cream sundae.",0.3744664490222931,0
