image_id,caption,humor_score,humor
sonicdrivein_376,not us seeing our ex at the drive-in,1.0,1
sonicdrivein_571,life is good. cheese makes it better,1.0,1
sonicdrivein_670,"you want it, you got it!",1.0,1
sonicdrivein_798,just your sign to stop by sonic ✨,1.0,1
sonicdrivein_522,big and little. do we need to say more?,1.0,1
sonicdrivein_645,where we get our ice. it's chill.,1.0,1
sonicdrivein_457,might as well just @ me.,1.0,1
sonicdrivein_65,we're just two single moms who work one job!,1.0,1
sonicdrivein_786,“i’m gonna walk the dog.”,1.0,1
sonicdrivein_690,don't keep mom from her emotional support ice.,1.0,1
sonicdrivein_691,can we make it any more obvious? 💁‍♀️,0.9979109168052673,1
sonicdrivein_832,a lil’ confidence boost to get you through. 😭,1.0,1
sonicdrivein_486,i love the taste of hypocrisy in the morning.,1.0,1
sonicdrivein_290,reminder to check in on your group chats today,1.0,1
sonicdrivein_496,how would you define it? #mmmsonic,1.0,1
sonicdrivein_534,it’s just an internal reminder at this point.,1.0,1
sonicdrivein_495,sharing’s only fun when it’s not your stuff,0.9999992847442627,1
sonicdrivein_2031,"👨: to me, you're perfect. 👩: ...babe.👨",1.0,1
sonicdrivein_234,what’s my skincare routine you ask? small classic shakes,1.0,1
sonicdrivein_2052,"eat your heart out, candy board games. ",1.0,1
sonicdrivein_69,"sometimes when we work on our assignments, genius strikes",1.0,1
sonicdrivein_369,her friends better stay away from her tots 🫣,1.0,1
sonicdrivein_1199,there’s only one thing running through my mind. 🏃🥤🏃,1.0,1
sonicdrivein_78,the fourth is strong with this one 😮‍💨,1.0,1
sonicdrivein_572,this is your sign to get a snack 😎,1.2407949667725404e-10,0
sonicdrivein_697,"sonic saves the day! (and night, too)",1.0,1
sonicdrivein_585,we didn’t even try to understand the assignment 🌭,1.0,1
sonicdrivein_566,i’ve had some time on my hands 😂,1.0,1
sonicdrivein_51,the r&d lab really went off with this one,1.0,1
sonicdrivein_85,every wrap has its own special qualities 🤗,1.0,1
sonicdrivein_596,i love when a plan comes together.,1.0,1
sonicdrivein_163,sorry 4 the vegetables i bought rip :(,1.0,1
sonicdrivein_196,"wake up, it’s the first of the month",1.0,1
sonicdrivein_491,"ahhh yes, gold, my favorite color.",0.9999452829360962,1
sonicdrivein_1384,back to school and packed all the essentials.,1.0,1
sonicdrivein_152,i’ll stop ordering kids meals when i’m ready (never),1.0,1
sonicdrivein_505,test your circle. bring up steak butter bacon cheeseburgers.,1.0,1
sonicdrivein_408,the most important messages are quick to type.,0.9385057091712952,1
sonicdrivein_497,one tot doesn’t make me a bad mom.,1.0,1
sonicdrivein_1594,"sonic is the goat, just ask a goat.",1.0,1
sonicdrivein_780,eating a corn dog in outer space? 👀,1.0,1
sonicdrivein_283,asking for a friend. #weird #wrong,1.0,1
sonicdrivein_80,just know we are very proud of this one,1.0,1
sonicdrivein_893,block ‘em in the top left corner. 👀,1.0,1
sonicdrivein_344,here’s a hint: it might have strawberries in it,1.0,1
sonicdrivein_91,"the best day of the year, lads",1.0,1
sonicdrivein_143,this very good boy deserves a very good treat,1.0,1
sonicdrivein_414,when you first move out of your parents’ house:,1.0,1
sonicdrivein_1502,"you: “mom, can we go to sonic?”",1.0,1
sonicdrivein_98,m&m blast on canvas by sonic (e. 1953),1.0,1
sonicdrivein_742,just starting our weekend off with a slush. 🤩,1.0,1
sonicdrivein_446,it’s never too cold for ice cream.,1.0,1
sonicdrivein_784,"💪 no pain, no gain(ing tots). 🥲",1.0,1
sonicdrivein_560,what should we name our fantasy team?,1.0,1
sonicdrivein_89,our social media manager (me) is wildin,1.0,1
sonicdrivein_373,who knew ai had such good taste? #ai,1.0,1
