image_id,caption,fluency,diversity,humor_score,humor
sonicdrivein_1209,best friends come in all sorts of pairs. 😊 which one are you? tag your friends to find out! #friendshipday,0.94402045,0.6386499,0.0065703992731869,0
sonicdrivein_866,today’s horoscoop🍦: remember to treat yourself and your sweet tooth with our mocha crunch blast—a deliciously cool,0.21195783,0.6386499,0.0878465548157692,0
sonicdrivein_80,just know we are very proud of this one,0.9347637,0.6386499,0.9244897961616516,1
sonicdrivein_1566,when bae just gets you. sending love to those who keep it sweet on valentine’s day. 😉❤️,0.78736746,0.6386499,0.0638127624988555,0
sonicdrivein_1435,introducing the freshest collab—the new @redbull slush and cherry limeade red bull® slush! it’s the ultimate cool down before you step up. 👐,0.62872386,0.6386499,0.0025862774346023,0
sonicdrivein_2185,"this little bit was so excited to meet mr. coney at sonic summer movie night at okc's myriad gardens. tonight, ""the",0.49138534,0.6386499,0.0380753464996814,0
sonicdrivein_283,asking for a friend. #weird #wrong,0.8918,0.6386499,0.1301235407590866,0
sonicdrivein_376,not us seeing our ex at the drive-in,0.90565515,0.6386499,0.6644645929336548,1
sonicdrivein_1452,work is more fun with friends. 🙌 we’re looking for new team members to join our crew! check out jobs.sonicdrivein.com,0.90565544,0.6386499,0.00379094411619,0
sonicdrivein_1919,"take a break from holiday mayhem with an always-easy jr. deluxe cheeseburger, just 79¢ all day this wednesday.",0.9030097,0.6386499,0.0043194694444537,0
sonicdrivein_470,our drop before the ball drops. stay tuned 👀,0.8200602,0.6386499,0.0643036514520645,0
sonicdrivein_952,"struggling to decide your order? 🤔 then check the time: our clock will tell you what to get. ⏰

9am - 12pm: bacon egg & cheese breakfast burrito
12pm - 3pm: crave cheeseburger
3pm - 6pm: corn dog
6pm - 9pm: red, white, & blue slush float",0.8089659,0.6386499,0.1811692714691162,0
sonicdrivein_1666,"burritos. burgers. dogs. wings. tots. if you can’t choose one, choose them all.",0.95855564,0.6386499,0.0056440383195877,0
sonicdrivein_1765,"drown your tastebuds in rich, creamy 1/2 price shakes after 8pm at sonic for the next five days.#sonicdrivein #shakebreak #shakes #📅 #🕖",0.7767136,0.6386499,0.0113276029005646,0
sonicdrivein_1755,how many corn dogs you’ll have is still a toss-up. drop by sonic on august 31st and enjoy 50¢ corn dogs all day. ,0.95130557,0.6386499,0.05933703109622,0
sonicdrivein_1998,"they're here. 79c. medium famous slushes at sonic, today only. ",0.56014544,0.6386499,0.0378610156476497,0
sonicdrivein_2168,"see you this morning for 1/2-price breakfast burritos all day at sonic. or, maybe it's a breakfast for dinner kind of",0.9194706,0.6386499,0.0415448062121868,0
