image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign
sonicdrivein_1209,the one i’ m going to talk about today is a little something.,0,0,0,0,2,1,0.80714065,0.4615127,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.6114653944969177,1,-8.617483
sonicdrivein_866,it’ s a new song.,0,0,0,0,0,1,0.9779182,0.4615127,0.0,0.0,0.0,0.0,0.7118660807609558,1,-8.855477
sonicdrivein_80,"i’m not a, i am.",0,0,0,-1,0,1,0.8075063,0.4615127,0.0,0.0,0.0,0.0,0.9954238533973694,1,-7.8860946
sonicdrivein_1566,the burger emoji is a food image that can be used for anything.,1,1,1,2,0,1,0.90775555,0.4615127,0.0,0.0,0.0,0.0,0.5526639223098755,1,-0.0009102254
sonicdrivein_1435,i’ m going to try out the new mic and i hope it works.,0,0,0,-1,3,1,0.9753102,0.4615127,0.1126688623769527,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308,0.5017068386077881,1,-6.4038067
sonicdrivein_2185,we all know that this is the best thing to do in 2019.,1,1,1,2,2,1,0.9797921,0.4615127,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.5781470537185669,1,-8.173006
sonicdrivein_283,"a little bit of a, just like you’ re going to eat it.",0,0,0,-1,1,1,0.8684381,0.4615127,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.528834879398346,1,-8.395908
sonicdrivein_376,1 / 25 is the last day of school.,0,0,0,-1,1,1,0.95010823,0.4615127,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9277967810630798,1,-8.977318
sonicdrivein_1452,"i’ m just going to say, “ the only way i can get a job is if you have this.",1,1,1,2,2,1,0.96947,0.4615127,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5982113480567932,1,-8.586439
sonicdrivein_1919,the # icecreamfight is coming up on monday night.,1,1,1,0,0,1,0.96541315,0.4615127,0.0,0.0,0.0,0.0,0.0097967917099595,0,-9.470269
sonicdrivein_470,the one i was thinking about.,0,1,1,2,1,1,0.95541185,0.4615127,0.1010884432854389,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.5729233026504517,1,-9.29924
sonicdrivein_952,the sonic tonics are the only way to keep your smile bright and fresh.,1,1,0,2,4,1,0.9657607,0.4615127,0.0202907959325448,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,0.5579577684402466,1,-8.612618
sonicdrivein_1666,the # atos robot is coming to the us.,0,0,0,-1,0,1,0.93161756,0.4615127,0.0,0.0,0.0,0.0,0.0268737152218818,0,-0.0020153467
sonicdrivein_1765,"for # shakespeare’ s birthday, we were thinking of a lil bit more serious.",1,1,1,2,1,1,0.5744604,0.4615127,0.0403370087148399,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,0.0546285510063171,0,-7.770624
