image_id,overfit,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,b_clip,b_bita,f_bita,f_clip,h_gt,h_bita,h_clip,benign
sonicdrivein_1213,0,and this is what i’ m gonna be doing for the rest of 2018.,2,1,0.97688156,0.42719504,0.1428571428571428,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3462324440479278,0,-7.789872,-2.768386,0.95788425,0.9714154,0.0563889518380165,0.1274689435958862,0.2379648685455322,-8.337557
sonicdrivein_1209,0,the one i’ m going to talk about today is a little something.,2,1,0.80714065,0.42719504,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.6832737922668457,1,-0.0009827552,-7.1797647,0.97398055,0.7712325,0.0146177308633923,0.0122673353180289,0.0176088996231555,-8.617483
sonicdrivein_1849,0,im not here to talk about my mum but i am.,1,1,0.9203115,0.42719504,0.0526889344349826,1.289604477082714e-308,1.289604477082714e-308,1.289604477082714e-308,0.747303307056427,1,-6.633035,-0.0014503208,0.95160973,0.95648044,0.0512617826461792,0.4380767047405243,0.3563835322856903,-8.769904
sonicdrivein_866,0,it’ s a new song.,0,1,0.9779182,0.42719504,0.0,0.0,0.0,0.0,0.6841156482696533,1,-0.0010562324,-9.177912,0.97469556,0.698882,0.0585588924586772,0.5378423929214478,0.1175732687115669,-8.855477
sonicdrivein_80,0,"i’m not a, i am.",0,1,0.8075063,0.42719504,0.0,0.0,0.0,0.0,0.9747712016105652,1,-9.004858,-8.673104,0.96546,0.9223454,0.8493310213088989,0.45451220870018,0.5074371695518494,-7.8860946
sonicdrivein_2100,0,"i’ m going to try and make a, this is what i want.",0,1,0.8805033,0.42719504,0.0,0.0,0.0,0.0,0.6937372088432312,1,-2.8457348,-9.323086,0.9565053,0.667631,0.0402314998209476,0.1408336907625198,0.2387169748544693,-7.9540515
sonicdrivein_1566,0,the burger emoji is a food image that can be used for anything.,0,1,0.90775555,0.42719504,0.0,0.0,0.0,0.0,0.8044982552528381,1,-8.55507,-0.0018304513,0.9715433,0.9438616,0.131282776594162,0.575920820236206,0.2777903079986572,-0.0009102254
sonicdrivein_1435,0,i’ m going to try out the new mic and i hope it works.,3,1,0.9753102,0.42719504,0.1126688623769527,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308,0.084014244377613,0,-9.66843,-8.785961,0.90876174,0.9158541,0.0014814620371907,0.0329788886010646,0.079945370554924,-6.4038067
sonicdrivein_2185,1,we all know that this is the best thing to do in 2019.,2,1,0.9797921,0.42719504,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.7159581780433655,1,-0.00069987116,-2.960812,0.94790196,0.88304466,0.255670815706253,0.5440636873245239,0.175306037068367,-8.173006
sonicdrivein_297,0,@ #dill2019 is a reminder that we can all make it work.,1,1,0.9642202,0.42719504,0.0362165173755898,9.670131127031886e-309,9.670131127031886e-309,9.670131127031886e-309,0.2874250710010528,0,-9.156909,-6.971686,0.9202859,0.21416749,0.0931387692689895,0.2173622250556945,0.787432849407196,-9.112137
sonicdrivein_786,0,"when you’ re trying to find a new restaurant, and the menu is too long or confusing.",1,1,0.9366845,0.42719504,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3366554081439972,0,-9.274836,-9.336817,0.8010607,0.93126297,0.7587778568267822,0.2344517856836319,0.4334143400192261,-8.443234
sonicdrivein_283,0,"a little bit of a, just like you’ re going to eat it.",1,1,0.8684381,0.42719504,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3928200900554657,0,-0.00016378015,-7.9436107,0.97627175,0.80842483,0.1911820173263549,0.2631575763225555,0.0238714683800935,-8.395908
sonicdrivein_531,0,the # @ gandals best in the world.,2,1,0.5080552,0.42719504,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4601637125015259,0,-0.0007808735,-7.9025474,0.93474174,0.8080332,0.664877712726593,0.3452131748199463,0.1018611639738082,-0.03551397
sonicdrivein_376,0,1 / 25 is the last day of school.,1,1,0.95010823,0.42719504,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.903984546661377,1,-9.345364,-8.366299,0.9683667,0.97655576,0.8700823783874512,0.8166893124580383,0.9947539567947388,-8.977318
sonicdrivein_1452,0,"i’ m just going to say, “ the only way i can get a job is if you have this.",2,1,0.96947,0.42719504,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2938594818115234,0,-8.03913,-8.927256,0.9689326,0.9818486,0.0297858044505119,0.1151059195399284,0.5488288402557373,-8.586439
sonicdrivein_1919,0,the # icecreamfight is coming up on monday night.,0,1,0.96541315,0.42719504,0.0,0.0,0.0,0.0,0.0857452601194381,0,-8.151691,-8.387656,0.9365183,0.9571627,0.0354985930025577,0.1719392240047454,0.1686557680368423,-9.470269
sonicdrivein_2209,0,when you see a friend or family member who is out of breath and running around the mall with their phone in hand.,2,1,0.9607683,0.42719504,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5744447708129883,1,-2.407987,-5.049559,0.9766117,0.8464924,0.5461118221282959,0.4502166509628296,0.7377692461013794,-8.304185
sonicdrivein_470,0,the one i was thinking about.,1,1,0.95541185,0.42719504,0.1010884432854389,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.5235520601272583,1,-8.679799,-9.056454,0.95977324,0.9592779,0.1087986379861831,0.0496494844555854,0.0376093424856662,-9.29924
sonicdrivein_1884,0,i got this.,0,1,0.9652667,0.42719504,0.0,0.0,0.0,0.0,0.324251115322113,0,-0.06566938,-9.132108,0.95154744,0.75395286,0.0220138188451528,0.0373270250856876,0.2767448723316192,-8.678528
sonicdrivein_952,0,the sonic tonics are the only way to keep your smile bright and fresh.,4,1,0.9657607,0.42719504,0.0202907959325448,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,0.5356340408325195,1,-8.863529,-6.6759233,0.98299855,0.9331194,0.1449362337589264,0.6865145564079285,0.087943784892559,-8.612618
