image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign
sonicdrivein_1209,it's time to get your teeth ready for the new year.,1,1,1,2,2,1,0.97577196,0.40566188,0.080224212319997,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309,0.1852273494005203,0,-9.01308
sonicdrivein_866,"it's not just a meme, it’ s an app that lets you order food from anywhere in the world.",1,1,1,2,0,1,0.96962714,0.40566188,0.0,0.0,0.0,0.0,0.2020735591650009,0,-9.718576
sonicdrivein_80,"it’ s like, “ oh my god i love you so much right now.",0,1,1,2,0,1,0.8710435,0.40566188,0.0,0.0,0.0,0.0,0.970469892024994,1,-7.235322
sonicdrivein_1566,we've got you covered.,1,1,1,0,0,1,0.9745058,0.40566188,0.0,0.0,0.0,0.0,0.657412588596344,1,-9.220501
sonicdrivein_1435,"i've heard a lot of things about this, so here’s what i think is going to be the next big thing.",0,1,1,2,1,1,0.961656,0.40566188,0.0432931639465101,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308,0.1748029738664627,0,-8.97248
sonicdrivein_2185,this is what it's like when you have to wait in line for over an hour just so i can get a drink.,1,1,1,2,3,1,0.9815545,0.40566188,0.1304347826086956,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5018296837806702,1,-9.4320545
sonicdrivein_283,what’ s wrong with you? </s> just click the like button to make it happen.,1,1,1,2,0,1,0.9575524,0.40566188,0.0,0.0,0.0,0.0,0.0204337947070598,0,-1.1508436
sonicdrivein_1452,what’ s your favorite way to say “ no” in spanish? the chữ nằng tươi viên cho ngườe khác hoạt đây nhấp bảo mình.,0,0,0,-1,1,1,0.8291133,0.40566188,0.0416666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0483684130012989,0,-0.010684782
sonicdrivein_470,don't worry about it.,0,0,0,-1,0,1,0.9796346,0.40566188,0.0,0.0,0.0,0.0,0.3451215326786041,0,-9.174102
sonicdrivein_952,we’ re here to help you lose 10 pounds in the first week.,0,0,0,-1,3,1,0.96664,0.40566188,0.0168783813807499,1.627411291316304e-309,1.627411291316304e-309,1.627411291316304e-309,0.7410256862640381,1,-8.546059
sonicdrivein_1765,q: what do u want to see? </s> p.,0,0,0,-1,0,1,0.95895594,0.40566188,0.0,0.0,0.0,0.0,0.6788944005966187,1,-6.700814
sonicdrivein_1755,it's time for you to try something new.,0,0,0,0,0,1,0.97822785,0.40566188,0.0,0.0,0.0,0.0,0.496929258108139,0,-9.3646145
sonicdrivein_2168,you know what i’ m going to do today? give up on all of the memes that have gone viral in 2019.,0,0,0,-1,3,1,0.97989696,0.40566188,0.1363636363636363,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2676727473735809,0,-7.7246947
sonicdrivein_788,"it's like, oh my god.",0,1,1,2,0,1,0.92365605,0.40566188,0.0,0.0,0.0,0.0,0.6925002932548523,1,-9.117053
