image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign,b_bita,b_clip
sonicdrivein_1213,"we ’ re going to be having a lot of fun this summer, so here are our top picks for the best dog treats.",0,1,0,-1,3,1,0.9712532,0.35610276,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0704235285520553,0,-8.629533,-2.768386,-8.197728
sonicdrivein_1209,it's time to get your teeth ready for the new year.,1,1,1,2,2,1,0.97577196,0.35610276,0.080224212319997,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309,0.1852273494005203,0,-9.01308,-7.1797647,-4.2605233
sonicdrivein_1849,it's been a long time since i was able to do this.,0,0,0,0,1,1,0.98264265,0.35610276,0.0549367191833703,1.4668590927248608e-308,1.4668590927248608e-308,1.4668590927248608e-308,0.6351940631866455,1,-9.342262,-0.0014503208,-9.130608
sonicdrivein_866,"it's not just a meme, it’ s an app that lets you order food from anywhere in the world.",1,1,1,2,0,1,0.96962714,0.35610276,0.0,0.0,0.0,0.0,0.2020735591650009,0,-9.718576,-9.177912,-9.441924
sonicdrivein_80,"it’ s like, “ oh my god i love you so much right now.",0,1,1,2,0,1,0.8710435,0.35610276,0.0,0.0,0.0,0.0,0.970469892024994,1,-7.235322,-8.673104,-0.59008265
sonicdrivein_2100,"it's like, you know what i’ m talking about.",0,1,1,0,0,1,0.85964733,0.35610276,0.0,0.0,0.0,0.0,0.8419899940490723,1,-8.847955,-9.323086,-8.45449
sonicdrivein_1566,we've got you covered.,1,1,1,0,0,1,0.9745058,0.35610276,0.0,0.0,0.0,0.0,0.657412588596344,1,-9.220501,-0.0018304513,-5.5115194
sonicdrivein_1435,"i've heard a lot of things about this, so here’s what i think is going to be the next big thing.",0,1,1,2,1,1,0.961656,0.35610276,0.0432931639465101,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308,0.1748029738664627,0,-8.97248,-8.785961,-7.8468657
sonicdrivein_2185,this is what it's like when you have to wait in line for over an hour just so i can get a drink.,1,1,1,2,3,1,0.9815545,0.35610276,0.1304347826086956,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5018296837806702,1,-9.4320545,-2.960812,-7.2854123
sonicdrivein_297,"you don't have to be like, "" i know what you mean.",0,0,0,-1,0,1,0.95593315,0.35610276,0.0,0.0,0.0,0.0,0.8601582050323486,1,-9.054926,-6.971686,-8.525211
sonicdrivein_786,"i'm going to get you a drink of your choice, but i don’t know what it is.",0,0,0,-1,0,1,0.98003113,0.35610276,0.0,0.0,0.0,0.0,0.9510153532028198,1,-9.205625,-9.336817,-8.660161
sonicdrivein_283,what’ s wrong with you? </s> just click the like button to make it happen.,1,1,1,2,0,1,0.9575524,0.35610276,0.0,0.0,0.0,0.0,0.0204337947070598,0,-1.1508436,-7.9436107,-8.465661
sonicdrivein_531,"today's your day! we are here to help you get back on track, so let’ s do it together.",0,1,0,0,3,1,0.9705666,0.35610276,0.1578947368421052,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1218065023422241,0,-8.895512,-7.9025474,-0.049414467
sonicdrivein_376,we're going to make a ton of food.,0,0,0,-1,0,1,0.97494274,0.35610276,0.0,0.0,0.0,0.0,0.7889804840087891,1,-9.1373205,-8.366299,-9.345364
