train_G,train_D,test_G,test_D,save
2.18558203125,2.736796875,1.843078125,2.71796875,V
1.79351953125,2.712546875,1.781359375,2.71265625,V
1.75281640625,2.71121875,1.756046875,2.71353125,V
1.73758984375,2.7101640625,1.743453125,2.7135,V
1.72783203125,2.710671875,1.7315625,2.71509375,V
1.72703125,2.711515625,1.72815625,2.71296875,V
1.72162109375,2.7100859375,1.73221875,2.71234375,V
1.7193359375,2.7104375,1.73209375,2.71390625, 
1.711171875,2.708953125,1.727984375,2.7114375,V
1.71054296875,2.7104921875,1.716921875,2.71025,V
