index, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, pstate, utilization.gpu [%], utilization.memory [%]
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 96 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 11 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 4 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 52 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 14 %, 4 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 7 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 16 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 48, P2, 93 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 99 %, 3 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 93 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 17 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 14 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 93 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 99 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 85 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 99 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 52, P2, 100 %, 2 %
