id,proba,label
mcdonalds_switzerland_693,-0.0011893588,1
mcdonalds_switzerland_605,-9.1547,0
mcdonalds_switzerland_2014,-9.661918,0
mcdonalds_switzerland_1888,-9.551606,0
mcdonalds_switzerland_478,-9.701703,0
mcdonalds_switzerland_598,-9.004815,0
mcdonalds_switzerland_902,-0.00073477445,1
mcdonalds_switzerland_16,-9.826758,0
mcdonalds_switzerland_13,-0.0046521523,1
mcdonalds_switzerland_358,-8.387445,0
mcdonalds_switzerland_402,-8.376257,0
mcdonalds_switzerland_1940,-0.00040630193,1
mcdonalds_switzerland_1942,-0.00096072286,1
mcdonalds_switzerland_1912,-0.022064557,1
mcdonalds_switzerland_461,-8.076422,0
mcdonalds_switzerland_1899,-9.659342,0
mcdonalds_switzerland_1985,-8.244366,0
mcdonalds_switzerland_672,-8.037427,0
mcdonalds_switzerland_1904,-0.00012528112,1
mcdonalds_switzerland_453,-9.521589,0
mcdonalds_switzerland_769,-9.0978985,0
mcdonalds_switzerland_725,-8.961811,0
mcdonalds_switzerland_616,-9.191493,0
mcdonalds_switzerland_568,-0.0028591966,1
mcdonalds_switzerland_1988,-0.0005673944,1
mcdonalds_switzerland_360,-9.523415,0
mcdonalds_switzerland_248,-9.181606,0
mcdonalds_switzerland_631,-7.99366,0
mcdonalds_switzerland_1612,-0.41855675,1
mcdonalds_switzerland_584,-0.0008823554,1
mcdonalds_switzerland_566,-9.782214,0
mcdonalds_switzerland_629,-8.601195,0
mcdonalds_switzerland_31,-9.083728,0
mcdonalds_switzerland_716,-9.2582445,0
mcdonalds_switzerland_558,-8.873893,0
mcdonalds_switzerland_1919,-8.82336,0
mcdonalds_switzerland_762,-9.336676,0
mcdonalds_switzerland_608,-8.11811,0
mcdonalds_switzerland_736,-1.2944955,0
mcdonalds_switzerland_655,-8.935749,0
mcdonalds_switzerland_1962,-6.976967,0
mcdonalds_switzerland_409,-9.097463,0
mcdonalds_switzerland_700,-2.2626295,0
mcdonalds_switzerland_2052,-5.8858047,0
mcdonalds_switzerland_367,-8.5762005,0
mcdonalds_switzerland_1995,-6.7095976,0
mcdonalds_switzerland_80,-8.261556,0
mcdonalds_switzerland_1895,-8.234595,0
mcdonalds_switzerland_429,-9.170669,0
mcdonalds_switzerland_481,-8.16894,0
mcdonalds_switzerland_586,-9.409582,0
mcdonalds_switzerland_203,-9.398667,0
mcdonalds_switzerland_242,-9.457436,0
mcdonalds_switzerland_646,-0.05131519,1
mcdonalds_switzerland_841,-8.956288,0
mcdonalds_switzerland_2065,-8.9696455,0
