bleu_threshold,trainData_size,testData_size,train_loss,test_loss,train_bleu,test_bleu,save
0.05,36244,9236,4.580789528145695,4.186754338394794,0.1267409975165563,0.06700616865509756,V
0.05,36244,9236,3.4328780353200883,4.036198481561822,0.13684162872516556,0.06719597342733186,V
0.05,36244,9236,3.2974441225165565,3.823617136659436,0.13490402524834427,0.06758744577006506,V
0.05,36244,9236,3.2429894453642385,3.6979731561822127,0.13184499172185415,0.06765523318872016,V
0.05,36244,9236,3.2130156594922736,3.6258473427331888,0.1302428256070639,0.06789079446854665,V
0.05,36244,9236,3.191828780353201,3.5364696312364425,0.12885321812913905,0.06848223969631241,V
0.05,36244,9236,3.176410733995585,3.476342190889371,0.1278305222130242,0.06868390726681123,V
0.05,36244,9236,3.164614376379691,3.470004067245119,0.12670866100993378,0.06874322125813445,V
0.05,36244,9236,3.157086437637969,3.456344902386117,0.1259097337196468,0.0685720580260304,V
0.05,36244,9236,3.1494291528697573,3.4264845444685466,0.12494006967439304,0.06935330802603039,V
0.05,36244,9236,3.1415994067328916,3.449430585683297,0.12467792839403957,0.06906690618221259, 
0.05,36244,9236,3.1368308498896247,3.389370932754881,0.1241432981512139,0.07354595986984816,V
0.05,36244,9236,3.1330108305739515,3.3944888828633406,0.12372249241169991,0.07361544197396966, 
0.05,36244,9236,3.1276559050772628,3.39228579175705,0.12323183981788087,0.07380185737527116, 
0.05,36244,9236,3.125103476821192,3.37154284164859,0.12294943432671081,0.07319007592190883,V
0.05,36244,9236,3.1201020971302427,3.3375813449023863,0.12196295529801308,0.07310873101952278,V
0.05,36244,9236,3.1164372930463577,3.340970715835141,0.12149989652317889,0.07331548264642081, 
0.05,36244,9236,3.113483892108168,3.3229053687635575,0.12178704470198651,0.07347308839479394,V
0.05,36244,9236,3.1115135209713025,3.3242611171366594,0.12127699020419438,0.0734798671366595, 
