image_id,caption,fitCount,gtNum,fluency,diversity,humor_score,humor,overfit,b_clip,b_bita,f_bita,f_clip,benign,h_gt,h_bita,h_clip,index,b_minus,f_minus,h_minus
mcdonalds_switzerland_646,`` the reason you’ re here is because your body was designed to do it.,0,1,0.96391255,0.4007058,0.0737520158290863,0,1,-0.00086818193,-8.116681,0.968216,0.96883464,-7.5704293,0.0044718831777572,0.0182695034891366,0.028631480410695,,,,
mcdonalds_switzerland_1995,and you know what i'm going to do? let the best in this country be your first choice.,3,1,0.97785884,0.4007058,0.0224017407745122,0,1,-8.845284,-8.018771,0.7345259,0.980454,-8.57692,0.0048206471838057,0.0486536771059036,0.1119838953018188,,,,
mcdonalds_switzerland_616,we've got a lot of different people who are trying to get through this crisis.,2,1,0.95572627,0.4007058,0.3119323253631592,0,1,-9.22523,-9.058662,0.9195852,0.9738116,-8.112391,0.0060257865116,0.174823984503746,0.0854083597660064,,,,
mcdonalds_switzerland_80,the burger is ready! get on the way... and enjoy your meal.,3,1,0.97606474,0.4007058,0.1248542591929435,0,1,-9.825105,-9.330064,0.9754091,0.96028465,-8.8675785,0.5977584719657898,0.4846836924552917,0.6043820977210999,,,,
mcdonalds_switzerland_429,we are trying to figure out what the best app for your brain is.,0,1,0.968762,0.4007058,0.3672231137752533,0,1,-9.508994,-9.519858,0.8843181,0.95929676,-9.455455,0.2505451440811157,0.1991814076900482,0.381119042634964,,,,
mcdonalds_switzerland_598,"here's the best gift for a friend who always comes with you, even when they don t want to go out.",4,1,0.9605973,0.4007058,0.289528876543045,0,1,-9.180471,-8.877489,0.9670215,0.91683376,-9.456745,0.0668909177184104,0.5957279205322266,0.8422919511795044,,,,
mcdonalds_switzerland_1612,i'm going to ask you a few questions about your food and drink preferences.,0,1,0.98173577,0.4007058,0.4101447165012359,0,1,-8.806788,-0.022617009,0.9334031,0.97473836,-0.0027751527,0.0660454109311103,0.1321707367897033,0.0999422371387481,,,,
mcdonalds_switzerland_478,"yes, it's not a joke.",0,1,0.97062755,0.4007058,0.7168915271759033,1,0,-8.747081,-9.672488,0.94856083,0.8540612,-8.398518,0.0296374317258596,0.1649167239665985,0.0311855114996433,376.0,0.3485630000000004,0.022066719999999984,0.68570601567626
mcdonalds_switzerland_558,"yes, yes.",0,1,0.85455173,0.4007058,0.954487919807434,1,0,-0.00054368493,-6.857231,0.9657767,0.9166503,-7.5460563,0.063936173915863,0.612179160118103,0.2803287208080292,192.0,-7.54551261507,-0.11122497000000009,0.6741591989994048
mcdonalds_switzerland_402,"yes, i've seen this before.",0,1,0.96338505,0.4007058,0.8969094753265381,1,0,-9.101368,-8.986293,0.88941365,0.9730762,-7.677172,0.2543568909168243,0.5243234038352966,0.2312171459197998,1.0,1.4241960000000011,0.07397140000000002,0.6656923294067383
mcdonalds_switzerland_608,"as the other side of you, it is not a secret.",2,1,0.36330888,0.4007058,0.8500788807868958,1,0,-9.355649,-8.157972,0.9034676,0.87248397,-8.081911,0.0517113618552684,0.7738171219825745,0.1968541592359542,356.0,1.2737379999999998,-0.54015872,0.6532247215509416
mcdonalds_switzerland_1988,"i love you, '' i hear your voice.",0,1,0.8134992,0.4007058,0.9036126136779784,1,0,-9.253675,-8.929412,0.9136931,0.9453869,-5.8262596,0.2647189795970917,0.6713354587554932,0.3176445662975311,412.0,3.4274153999999992,-0.10019390000000006,0.5859680473804474
mcdonalds_switzerland_1895,you're probably the one who has more food in your fridge than you think.,2,1,0.9780452,0.4007058,0.6149932146072388,1,0,-8.043437,-9.040469,0.97391915,0.9627383,-9.326253,0.0599977634847164,0.2379841208457946,0.046505432575941,69.0,-1.2828159999999986,0.004126049999999992,0.5684877820312978
