image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,overfit,b_clip,b_bita,f_bita,f_clip,benign,h_gt,h_bita,h_clip
mcdonalds_switzerland_2054,the good news is that the mcdonald's app has been updated.,0,1,0.97864294,0.4579166,0.0,0.0,0.0,0.0,0.076522409915924,0,0,-9.033481,-8.8176985,0.9642494,0.96450204,-9.731499,0.0179680362343788,0.0332458615303039,0.1672443896532058
mcdonalds_switzerland_402,"yes, i've seen this before.",0,1,0.96338505,0.4579166,0.0,0.0,0.0,0.0,0.8969094753265381,1,0,-9.101368,-8.986293,0.88941365,0.9730762,-7.677172,0.2543568909168243,0.5243234038352966,0.2312171459197998
mcdonalds_switzerland_2062,"for the next 2 years, your kids will be ready to try every type of food you love! we have a great experience with these recipes.",1,1,0.9733802,0.4579166,0.0384615384615384,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0722067654132843,0,0,-0.109894894,-8.222884,0.9197426,0.94593275,-3.301226,0.0766088888049125,0.5645802021026611,0.0786866843700409
mcdonalds_switzerland_1974,"i'm not a doctor, but i know what you want.",0,1,0.97875804,0.4579166,0.0,0.0,0.0,0.0,0.3978346586227417,0,0,-0.008259071,-3.8565626,0.8525791,0.97976834,-8.9584,0.0282501876354217,0.0746777653694152,0.4381678104400635
mcdonalds_switzerland_271,"from now on, you can get the brand-new black & white mobile phone with a unique and easy to use interface! check it out here.",0,1,0.9700015,0.4579166,0.0,0.0,0.0,0.0,0.0221804063767194,0,0,-8.3806925,-8.763176,0.5140446,0.91503197,-0.00047684266,0.1785241961479187,0.0440624952316284,0.085023745894432
mcdonalds_switzerland_700,"you're right, but this will make it a lot easier to find the phone number of your friends.",2,1,0.9814401,0.4579166,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2252846211194992,0,0,-8.278023,-8.080632,0.9618943,0.9224583,-8.196387,0.0282939691096544,0.0856537669897079,0.0239716861397027
mcdonalds_switzerland_412,you're welcome to the world of health and fitness.,2,1,0.9746313,0.4579166,0.0654610729578016,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.0457417108118534,0,0,-8.953594,-9.398436,0.7144771,0.9632668,-9.114008,0.0016582435928285,0.0037854593247175,0.1283202767372131
mcdonalds_switzerland_1915,"you're not going to miss it, are you? i am glad for all the brands that were chosen as a new this year.",2,1,0.7667999,0.4579166,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0194865446537733,0,0,-0.006044323,-6.5353403,0.8364309,0.8944914,-9.722903,0.0138411624357104,0.1409965008497238,0.010116359218955
mcdonalds_switzerland_902,don't forget to have fun with your loved ones on this special #momday.,0,1,0.9165157,0.4579166,0.0,0.0,0.0,0.0,0.3133868277072906,0,0,-6.80002,-7.148703,0.97264916,0.8658706,-8.511916,0.1318174749612808,0.6112704277038574,0.1070003360509872
mcdonalds_switzerland_724,the next one is the 10-year wait to get your new laptop or pc! it’s been a while since you got an android phone.,1,1,0.9506096,0.4579166,0.0416666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0649120211601257,0,0,-8.476032,-7.5102353,0.8841428,0.9740801,-7.6696167,0.0175673998892307,0.2815080881118774,0.276326835155487
