image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,b_clip,b_bita,f_bita,f_clip,benign
mcdonalds_switzerland_2054,the good news is that the mcdonald's app has been updated.,1.0,0.0,1.0,-1.0,0,1,0.97864294,0.4579166,0.0,0.0,0.0,0.0,0.0007532587624154,0,-9.033481,-8.8176985,0.9642494,0.96450204,-9.731499
mcdonalds_switzerland_402,"yes, i've seen this before.",0.0,0.0,1.0,-1.0,0,1,0.96338505,0.4579166,0.0,0.0,0.0,0.0,0.8606106042861938,1,-9.101368,-8.986293,0.88941365,0.9730762,-7.677172
mcdonalds_switzerland_2062,"for the next 2 years, your kids will be ready to try every type of food you love! we have a great experience with these recipes.",0.0,0.0,1.0,-1.0,1,1,0.9733802,0.4579166,0.0384615384615384,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0118601927533745,0,-0.109894894,-8.222884,0.9197426,0.94593275,-3.301226
mcdonalds_switzerland_1974,"i'm not a doctor, but i know what you want.",0.0,0.0,1.0,-1.0,0,1,0.97875804,0.4579166,0.0,0.0,0.0,0.0,0.2497905492782592,0,-0.008259071,-3.8565626,0.8525791,0.97976834,-8.9584
mcdonalds_switzerland_271,"from now on, you can get the brand-new black & white mobile phone with a unique and easy to use interface! check it out here.",0.0,0.0,0.0,-1.0,0,1,0.9700015,0.4579166,0.0,0.0,0.0,0.0,0.0041245422326028,0,-8.3806925,-8.763176,0.5140446,0.91503197,-0.00047684266
mcdonalds_switzerland_739,"so you want to know the best'places on this site? try these words: o-oh my! xoxo ryan ; is your reply?? 🤩
i can not even imagine how much time it takes for a pizza delivery person in london 🚌👨💰to reach me 😂 i have no idea what they do 👀 and",1.0,0.0,0.0,-1.0,1,1,0.8776004,0.4579166,0.0192307692307692,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.001842078869231,0,-4.8918586,-3.8407166,0.95628494,0.9751648,-0.00079921726
mcdonalds_switzerland_700,"you're right, but this will make it a lot easier to find the phone number of your friends.",0.0,0.0,0.0,-1.0,2,1,0.9814401,0.4579166,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0072234459221363,0,-8.278023,-8.080632,0.9618943,0.9224583,-8.196387
mcdonalds_switzerland_412,you're welcome to the world of health and fitness.,0.0,0.0,0.0,-1.0,2,1,0.9746313,0.4579166,0.0654610729578016,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.0080033345147967,0,-8.953594,-9.398436,0.7144771,0.9632668,-9.114008
mcdonalds_switzerland_1915,"you're not going to miss it, are you? i am glad for all the brands that were chosen as a new this year.",0.0,0.0,0.0,-1.0,2,1,0.7667999,0.4579166,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0009164782823063,0,-0.006044323,-6.5353403,0.8364309,0.8944914,-9.722903
mcdonalds_switzerland_902,don't forget to have fun with your loved ones on this special #momday.,0.0,0.0,0.0,-1.0,0,1,0.9165157,0.4579166,0.0,0.0,0.0,0.0,0.014480473473668,0,-6.80002,-7.148703,0.97264916,0.8658706,-8.511916
mcdonalds_switzerland_724,the next one is the 10-year wait to get your new laptop or pc! it’s been a while since you got an android phone.,0.0,0.0,0.0,-1.0,1,1,0.9506096,0.4579166,0.0416666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0018598125316202,0,-8.476032,-7.5102353,0.8841428,0.9740801,-7.6696167
mcdonalds_switzerland_1914,"this week, the ufo industry will open its world.",0.0,1.0,1.0,0.0,0,1,0.97088575,0.4579166,0.0,0.0,0.0,0.0,0.0298627745360136,0,-9.299828,-6.7523527,0.9157354,0.9802352,-7.8340545
mcdonalds_switzerland_590,"and i know that the best time of your life is right around you, but it's not always easy to find out what makes YOU happy.",0.0,0.0,1.0,-1.0,2,1,0.9786725,0.4579166,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0603064224123954,0,-8.970637,-8.98437,0.9684572,0.9787027,-9.100036
mcdonalds_switzerland_1944,"if you're a coffee addict, try this! take your morning brew and add some lemon or orange juice to it.",0.0,0.0,0.0,-1.0,1,1,0.9753954,0.4579166,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0001188848618767,0,-9.273904,-0.0020553195,0.95147103,0.9722074,-9.354098
mcdonalds_switzerland_563,"the place of the future... this is your new favorite emoji! just like you can express yourself with a few simple, yet expressive images.",0.0,0.0,0.0,-1.0,2,1,0.96800464,0.4579166,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0014017211506143,0,-8.300684,-7.5512533,0.9646103,0.9160219,-0.0011032692
mcdonalds_switzerland_367,"yes, i'm not a vegan.",0.0,1.0,1.0,2.0,0,1,0.9714437,0.4579166,0.0,0.0,0.0,0.0,0.1362680345773697,0,-9.443942,-9.385091,0.88853353,0.91012675,-8.782044
mcdonalds_switzerland_348,"why do i love it so much? you should be asking me : what does the food taste like when your eyes are closed and stomach is empty! # osuzunen't believe in pizza!! 😂😂🤣
This answer has been confirmed as correct and helpful.",1.0,0.0,1.0,-1.0,4,1,0.8241916,0.4579166,0.0930232558139534,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0026221168227493,0,-5.9987483,-9.379273,0.9174196,0.92400146,-8.0232315
mcdonalds_switzerland_687,♪ ♥ the best & in for all your life.,0.0,0.0,0.0,-1.0,1,1,0.5530565,0.4579166,0.0606530659712633,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.0193876381963491,0,-8.887507,-0.6331443,0.9746265,0.4705431,-7.2638106
