image_id,caption,humor_score,humor,overfit
mcdonalds_switzerland_2054,the good news is that the mcdonald's app has been updated.,0.07652240991592407,0,0
mcdonalds_switzerland_402,"yes, i've seen this before.",0.8969094753265381,1,0
mcdonalds_switzerland_2062,"for the next 2 years, your kids will be ready to try every type of food you love! we have a great experience with these recipes.",0.0722067654132843,0,0
mcdonalds_switzerland_1974,"i'm not a doctor, but i know what you want.",0.3978346586227417,0,0
mcdonalds_switzerland_271,"from now on, you can get the brand-new black & white mobile phone with a unique and easy to use interface! check it out here.",0.022180406376719475,0,0
mcdonalds_switzerland_739,"so you want to know the best'places on this site? try these words: o-oh my! xoxo ryan ; is your reply?? 🤩
i can not even imagine how much time it takes for a pizza delivery person in london 🚌👨💰to reach me 😂 i have no idea what they do 👀 and",0.004009045660495758,0,0
mcdonalds_switzerland_700,"you're right, but this will make it a lot easier to find the phone number of your friends.",0.2252846211194992,0,0
mcdonalds_switzerland_412,you're welcome to the world of health and fitness.,0.04574171081185341,0,0
mcdonalds_switzerland_1915,"you're not going to miss it, are you? i am glad for all the brands that were chosen as a new this year.",0.019486544653773308,0,0
mcdonalds_switzerland_902,don't forget to have fun with your loved ones on this special #momday.,0.31338682770729065,0,0
mcdonalds_switzerland_724,the next one is the 10-year wait to get your new laptop or pc! it’s been a while since you got an android phone.,0.06491202116012573,0,0
mcdonalds_switzerland_1914,"this week, the ufo industry will open its world.",0.0883808359503746,0,0
mcdonalds_switzerland_590,"and i know that the best time of your life is right around you, but it's not always easy to find out what makes YOU happy.",0.11686714738607407,0,0
mcdonalds_switzerland_1944,"if you're a coffee addict, try this! take your morning brew and add some lemon or orange juice to it.",0.002304176799952984,0,0
mcdonalds_switzerland_563,"the place of the future... this is your new favorite emoji! just like you can express yourself with a few simple, yet expressive images.",0.018498055636882782,0,0
mcdonalds_switzerland_367,"yes, i'm not a vegan.",0.38458746671676636,0,0
