image_id,caption,human_ins,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,human_humor,humor,b_clip,b_bita,f_bita,f_clip,benign,b_minus,f_minus
mcdonalds_switzerland_646,`` the reason you’ re here is because your body was designed to do it.,0.0,1.0,3.0,0,1,0.96391255,0.4311688,0.0,0.0,0.0,0.0,0.2455158829689026,1.0,0,-0.00086818193,-8.116681,0.968216,0.96883464,-7.5704293,,
mcdonalds_switzerland_1995,and you know what i'm going to do? let the best in this country be your first choice.,0.0,1.0,3.0,3,1,0.97785884,0.4311688,0.141080287481769,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.0084369936957955,1.0,0,-8.845284,-8.018771,0.7345259,0.980454,-8.57692,,
mcdonalds_switzerland_265,`` i love you! '' go for it.,0.0,1.0,3.0,0,1,0.97209114,0.4311688,0.0,0.0,0.0,0.0,0.8086099624633789,1.0,1,-8.2387085,-9.580732,0.7960955,0.2502667,-8.592374,,
mcdonalds_switzerland_80,the burger is ready! get on the way... and enjoy your meal.,1.0,1.0,3.0,3,1,0.97606474,0.4311688,0.1666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0210407879203557,1.0,0,-9.825105,-9.330064,0.9754091,0.96028465,-8.8675785,,
mcdonalds_switzerland_429,we are trying to figure out what the best app for your brain is.,0.0,1.0,3.0,0,1,0.968762,0.4311688,0.0,0.0,0.0,0.0,0.2748781740665436,1.0,0,-9.508994,-9.519858,0.8843181,0.95929676,-9.455455,,
mcdonalds_switzerland_598,"here's the best gift for a friend who always comes with you, even when they don t want to go out.",0.0,1.0,3.0,4,1,0.9605973,0.4311688,0.1574410357379501,0.0413282718812119,1.8391691476033075e-308,1.8391691476033075e-308,0.1199158653616905,1.0,0,-9.180471,-8.877489,0.9670215,0.91683376,-9.456745,,
mcdonalds_switzerland_16,this is a fake movie.,0.0,0.0,-1.0,0,1,0.9737013,0.4311688,0.0,0.0,0.0,0.0,0.9923376441001892,0.0,1,-9.402929,-7.952308,0.9642762,0.9060073,-8.186518,1.2164110000000008,0.06769400000000003
mcdonalds_switzerland_69,"if you ask 10 people what they think of this post, and only one says yes.",0.0,0.0,-1.0,0,1,0.9369184,0.4311688,0.0,0.0,0.0,0.0,0.9583855867385864,0.0,1,-8.090135,-6.7066293,0.93865734,0.97461784,-8.309852,-0.21971699999999927,-0.03769943999999992
mcdonalds_switzerland_654,"in 2018, the new world record for a sandwich with three slices of bread was set.",0.0,0.0,-1.0,2,1,0.96631485,0.4311688,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8999807238578796,0.0,1,-8.676217,-9.552027,0.89297265,0.97831875,-0.45867753,8.21753947,-0.012003900000000067
mcdonalds_switzerland_721,"the first thing i did was to check out the app for a few minutes, and it really surprised me.",0.0,0.0,-1.0,0,1,0.97930956,0.4311688,0.0,0.0,0.0,0.0,0.8889598250389099,0.0,1,-7.6840353,-8.417582,0.9222871,0.8808109,-9.205575,-1.5215397,0.09849866000000007
mcdonalds_switzerland_769,you can 't have a good time if you are not seeing all the food on your menu.,0.0,0.0,-1.0,0,1,0.9687007,0.4311688,0.0,0.0,0.0,0.0,0.8792566657066345,0.0,1,-9.591755,-7.7587233,0.78847134,0.9337111,-9.225011,0.36674399999999885,0.034989599999999954
mcdonalds_switzerland_402,"yes, i've seen this before.",0.0,1.0,-1.0,0,1,0.96338505,0.4311688,0.0,0.0,0.0,0.0,0.8606106042861938,0.0,1,-9.101368,-8.986293,0.88941365,0.9730762,-7.677172,1.4241960000000011,-0.009691149999999982
mcdonalds_switzerland_19,"the woman who is trying to eat the ice cream with a fork in her hand, makes me feel hungry.",0.0,0.0,-1.0,2,1,0.7762316,0.4311688,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8578487038612366,0.0,1,-8.425251,-8.497641,0.95354426,0.8088689,-2.0546465,6.370604499999999,-0.03263729999999998
mcdonalds_switzerland_2000,"a very popular, easy to eat and a great value for your money.",0.0,0.0,-1.0,0,1,0.7525514,0.4311688,0.0,0.0,0.0,0.0,0.8473842144012451,0.0,1,-8.24387,-0.055035308,0.97381186,0.96285397,-7.2555304,0.9883395999999998,-0.21030256999999997
mcdonalds_switzerland_568,"please don't be like '' that, and let us see what we can do.",0.0,0.0,-1.0,3,1,0.92926323,0.4311688,0.0551561018684074,0.019799626311736,5.727232018879324e-309,5.727232018879324e-309,0.8433911800384521,0.0,1,-9.544269,-9.236266,0.96156406,0.9789281,-8.530496,1.0137730000000005,-0.04966486999999997
mcdonalds_switzerland_13,"houston, i know you love the variety of my favourite meals.",0.0,0.0,-1.0,0,1,0.9617614,0.4311688,0.0,0.0,0.0,0.0,0.8217950463294983,0.0,1,-0.00037913286,-0.26533353,0.9220934,0.8935735,-0.4469877,-0.44660856713999997,0.06818789999999997
mcdonalds_switzerland_496,this is a little secret: you've got the most amazing of your life.,0.0,1.0,0.0,3,1,0.9569539,0.4311688,0.1454568892146276,1.402493394168772e-308,1.402493394168772e-308,1.402493394168772e-308,0.8215428590774536,0.0,1,-0.0006797387,-9.250703,0.9647719,0.90275663,-8.848693,-8.8480132613,0.054197270000000075
mcdonalds_switzerland_234,"when i was younger, my mother bought me a small dog for 10 euro.",0.0,0.0,-1.0,1,1,0.96124,0.4311688,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7773693799972534,0.0,1,-0.2588699,-9.080438,0.98366135,0.9208443,-7.998623e-05,0.25878991377,0.040395700000000034
mcdonalds_switzerland_1962,you know the one.,0.0,1.0,2.0,0,1,0.91648275,0.4311688,0.0,0.0,0.0,0.0,0.7594184279441833,1.0,1,-9.5234375,-9.102766,0.96950454,0.9336152,-8.768718,0.7547195000000002,-0.017132449999999966
mcdonalds_switzerland_1890,when you're about to get a new pair of glasses.,0.0,0.0,-1.0,1,1,0.9711474,0.4311688,0.0332871083698079,7.4066274658958e-309,7.4066274658958e-309,7.4066274658958e-309,0.735302746295929,0.0,1,-9.914026,-9.220705,0.8077806,0.90868604,-9.07083,0.843195999999999,0.06246136000000002
mcdonalds_switzerland_118,the food you get at your favorite restaurant is not the same as what's in it.,0.0,0.0,-1.0,3,1,0.97304314,0.4311688,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7299713492393494,0.0,0,-9.228557,-9.735153,0.95713997,0.97161263,-9.553147,-0.3245899999999988,0.0014305100000000515
mcdonalds_switzerland_744,"i love you, and i also like to write about things that are worth seeing.",0.0,1.0,2.0,1,1,0.9780109,0.4311688,0.0666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7249212265014648,1.0,0,-9.268638,-8.149858,0.96972173,0.9764371,-8.780286,0.488351999999999,0.0015738000000000696
mcdonalds_switzerland_586,"`` i'm sorry, but the restaurant is closed for today.",0.0,0.0,-1.0,0,1,0.9575845,0.4311688,0.0,0.0,0.0,0.0,0.7207115292549133,0.0,0,-7.4491286,-8.809689,0.6752609,0.9832408,-0.0005102048,7.4486183952,-0.025656300000000076
mcdonalds_switzerland_2025,"i am sorry for the inconvenience, but i'm going to be here at your event.",0.0,1.0,0.0,0,1,0.96837604,0.4311688,0.0,0.0,0.0,0.0,0.7076802253723145,0.0,0,-8.180812,-8.6979,0.51169163,0.9450726,-9.412306,-1.2314939999999996,0.023303439999999953
mcdonalds_switzerland_2052,"yes, i love your coffee.",0.0,0.0,-1.0,0,1,0.9717429,0.4311688,0.0,0.0,0.0,0.0,0.7023133635520935,0.0,0,-8.815041,-8.541006,0.94815856,0.91324604,-8.507214,0.3078270000000014,0.058496859999999984
mcdonalds_switzerland_761,"the next time you are in the car with your partner, think about it.",0.0,0.0,-1.0,3,1,0.9771886,0.4311688,0.1395940837566547,1.4495000173229606e-308,1.4495000173229606e-308,1.4495000173229606e-308,0.697892963886261,0.0,0,-0.0042967144,-8.090704,0.6943429,0.96686333,-9.1504755,-9.1461787856,0.010325269999999942
mcdonalds_switzerland_737,please try to eat 10 pieces of pizza every day for a week.,1.0,0.0,-1.0,0,1,0.9633623,0.4311688,0.0,0.0,0.0,0.0,0.6856949925422668,0.0,0,-9.471601,-9.533354,0.9184866,0.97499925,-9.586231,-0.11463000000000001,-0.01163694999999998
mcdonalds_switzerland_203,"a lot of people say, ""well you know what? i lovin' it.",1.0,1.0,0.0,1,1,0.9676331,0.4311688,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.675481379032135,1.0,0,-9.196861,-9.572734,0.9617238,0.95097655,-9.123365,0.07349600000000045,0.016656549999999992
mcdonalds_switzerland_767,"i'm not sure if you know this, but we do n’t believe it.",0.0,0.0,-1.0,1,1,0.95459884,0.4311688,0.0013045822108796,3.7736293058125e-310,3.7736293058125e-310,3.7736293058125e-310,0.6565881371498108,0.0,0,-8.494717,-8.766099,0.96253157,0.97622234,-7.384148,1.110569,-0.021623500000000018
mcdonalds_switzerland_31,we have to do something about it.,0.0,1.0,-1.0,2,1,0.95863485,0.4311688,0.2476793999286233,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308,0.6389925479888916,0.0,0,-5.1344156,-8.970014,0.91356295,0.971093,-8.781486,-3.6470703999999996,-0.012458149999999946
mcdonalds_switzerland_1988,"i love you, '' i hear your voice.",0.0,0.0,-1.0,0,1,0.8134992,0.4311688,0.0,0.0,0.0,0.0,0.637524425983429,0.0,0,-9.253675,-8.929412,0.9136931,0.9453869,-5.8262596,3.4274153999999992,-0.13188770000000005
mcdonalds_switzerland_615,"brrr brr, you can feel it in the air.",0.0,1.0,0.0,1,1,0.9077701,0.4311688,0.0120408914690995,2.411268555691485e-309,2.411268555691485e-309,2.411268555691485e-309,0.5891082286834717,1.0,0,-2.6892946,-8.463889,0.9707479,0.9782639,-8.730641,-6.0413464,-0.07049379999999994
